<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
11.09.2025 08:40:19	183,8	25,7	14,4	253,3	207,2	44,9
11.09.2025 08:40:25	105,4	27,6	15,4	1182,2	146,1	58,0
11.09.2025 08:40:31	181,0	24,7	14,2	3734,5	368,9	37,6
11.09.2025 08:40:37	138,4	23,1	14,0	2708,9	249,3	35,5
11.09.2025 08:40:43	161,1	24,8	13,6	2046,2	244,7	49,3
11.09.2025 08:40:49	135,0	26,0	14,1	4246,4	311,5	35,7
11.09.2025 08:40:55	187,8	20,5	12,6	2830,5	303,0	31,7
11.09.2025 08:41:01	118,7	25,9	14,6	4370,6	291,7	33,2
11.09.2025 08:41:07	223,9	24,8	14,9	2548,4	307,4	39,2
11.09.2025 08:41:13	151,6	26,2	14,3	3341,7	340,9	42,7
11.09.2025 08:41:19	190,4	25,2	14,4	4854,6	448,9	40,6
11.09.2025 08:41:25	188,6	25,7	14,7	5093,9	405,3	46,0
11.09.2025 08:41:31	168,2	24,5	14,0	3032,4	280,6	47,4
11.09.2025 08:41:37	136,9	26,2	13,6	3328,7	281,4	39,8
11.09.2025 08:41:43	177,8	26,2	15,0	6907,4	500,0	43,1
11.09.2025 08:41:49	59,3	24,8	13,5	2192,0	125,4	40,5
11.09.2025 08:41:55	195,7	24,0	13,9	4244,0	378,4	37,1
11.09.2025 08:42:01	181,2	24,6	13,9	3734,7	369,0	38,1
11.09.2025 08:42:07	295,3	23,5	13,6	5459,5	480,6	46,5
11.09.2025 08:42:13	255,6	29,3	14,5	5526,1	518,1	57,0
11.09.2025 08:42:19	225,4	22,3	13,6	2938,1	384,4	35,0
11.09.2025 08:42:25	186,9	31,1	14,9	4317,1	370,3	49,5
11.09.2025 08:42:31	279,6	27,7	14,3	7540,9	609,5	52,8
11.09.2025 08:42:37	274,7	23,7	13,6	5710,4	497,8	45,2
11.09.2025 08:42:43	152,3	24,4	14,2	3829,5	377,2	39,0
11.09.2025 08:42:49	218,7	27,8	14,1	3653,9	327,4	44,5
11.09.2025 08:42:55	204,2	21,8	13,4	2446,6	288,1	51,2
11.09.2025 08:43:01	411,6	23,2	13,6	3838,0	545,5	62,4
11.09.2025 08:43:07	343,3	24,4	13,7	7059,9	601,6	57,3
11.09.2025 08:43:13	207,6	26,2	13,7	6226,5	496,8	48,3
11.09.2025 08:43:19	155,0	22,0	13,4	3848,1	338,5	28,8
11.09.2025 08:43:25	206,7	26,4	13,8	1441,1	254,4	61,0
11.09.2025 08:43:31	235,7	24,7	13,5	3624,9	351,2	46,6
11.09.2025 08:43:37	186,8	28,7	14,4	5999,4	433,9	58,3
11.09.2025 08:43:43	337,8	28,3	14,4	6518,5	637,1	63,2
11.09.2025 08:43:49	108,1	23,9	14,1	2320,0	177,7	38,8
11.09.2025 08:43:55	170,5	23,4	13,2	4288,8	351,8	46,2
11.09.2025 08:44:01	359,6	24,9	14,2	5347,7	633,2	57,4
11.09.2025 08:44:07	392,9	26,8	14,3	3824,9	524,6	52,7
11.09.2025 08:44:13	411,1	27,9	14,9	7788,4	712,5	69,7
11.09.2025 08:44:19	226,7	21,0	12,2	1476,1	278,5	52,2
11.09.2025 08:44:25	316,7	30,5	14,8	6889,2	571,2	58,4
11.09.2025 08:44:31	226,0	27,7	14,5	4949,8	410,5	55,8
11.09.2025 08:44:37	236,7	29,5	14,3	6887,2	561,8	71,0
11.09.2025 08:44:43	205,4	24,8	13,7	6174,4	498,6	46,3
11.09.2025 08:44:49	400,1	29,2	14,5	6765,1	621,7	71,9
11.09.2025 08:44:55	333,8	28,6	14,7	8541,8	702,8	62,3
11.09.2025 08:45:01	258,5	26,2	13,8	4656,4	411,6	60,2
