Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N)
0,7.539947509765625,2.9273223876953125
0.10000000000000001,8.109710693359375,3.4945297241210938
0.20000000000000001,8.7867813110351562,4.1383895874023438
0.29999999999999999,9.0218429565429688,4.3734512329101562
0.40000000000000002,9.2850112915039062,4.7362594604492188
0.5,9.5865020751953125,5.1246185302734375
0.59999999999999998,9.9186477661132812,5.461883544921875
0.69999999999999996,10.238021850585938,5.7582626342773438
0.80000000000000004,10.529296875,6.0444183349609375
0.90000000000000002,10.710700988769531,6.2845916748046875
1,10.654487609863281,6.3305816650390625
1.1000000000000001,10.421981811523438,6.0699691772460938
1.2,10.077056884765625,5.553863525390625
1.3,9.70147705078125,5.0096435546875
1.3999999999999999,9.4050979614257812,4.62384033203125
1.5,9.1061630249023438,4.319793701171875
1.6000000000000001,8.7459030151367188,4.0106430053710938
1.7,8.3652114868164062,3.6989288330078125
1.8,8.0126190185546875,3.4332122802734375
1.8999999999999999,7.685577392578125,3.216033935546875
2,7.465850830078125,3.032073974609375
2.1000000000000001,7.3764266967773438,2.8787765502929688
2.2000000000000002,7.2461166381835938,2.656494140625
2.2999999999999998,7.0825958251953125,2.444427490234375
2.3999999999999999,7.0366058349609375,2.4009933471679688
2.5,7.1745758056640625,2.5210723876953125
2.6000000000000001,7.5246124267578125,2.8225631713867188
2.7000000000000002,7.9896240234375,3.216033935546875
2.7999999999999998,8.5338363647460938,3.5865097045898438
2.8999999999999999,9.1444854736328125,3.9416580200195312
3,9.7525711059570312,4.3223495483398438
3.1000000000000001,10.299346923828125,4.6902694702148438
3.2000000000000002,10.718360900878906,4.9151077270507812
3.2999999999999998,11.127166748046875,5.093963623046875
3.3999999999999999,11.622833251953125,5.4107818603515625
3.5,12.075065612792969,5.7812576293945312
3.6000000000000001,12.409774780273438,6.105743408203125
3.7000000000000002,12.440437316894531,6.3229141235351562
3.7999999999999998,12.059738159179688,6.2820358276367188
3.8999999999999999,11.512969970703125,5.9677734375
4,10.986640930175781,5.5027618408203125
4.0999999999999996,10.391326904296875,4.8512344360351562
4.2000000000000002,9.7346878051757812,4.1435012817382812
4.2999999999999998,9.1521530151367188,3.640167236328125
4.4000000000000004,8.6820297241210938,3.3182373046875
4.5,8.2911148071289062,3.0908432006835938
4.5999999999999996,7.9589614868164062,2.9119873046875
4.7000000000000002,7.7009124755859375,2.7689132690429688
4.7999999999999998,7.5322799682617188,2.6692657470703125
4.9000000000000004,7.4351882934570312,2.610504150390625
5,7.3534317016601562,2.5159683227539062
5.0999999999999996,7.2665557861328125,2.3626632690429688
5.2000000000000002,7.4045257568359375,2.3677749633789062
5.2999999999999998,7.9283065795898438,2.646270751953125
5.4000000000000004,8.6845855712890625,3.0397415161132812
5.5,9.4664154052734375,3.4510955810546875
5.5999999999999996,10.158821105957031,3.8905563354492188
5.7000000000000002,10.759246826171875,4.3734512329101562
5.7999999999999998,11.303459167480469,4.871673583984375
5.9000000000000004,11.755691528320312,5.2549285888671875
6,12.031631469726562,5.4848785400390625
6.0999999999999996,12.062294006347656,5.7173843383789062
6.2000000000000002,11.72503662109375,5.791473388671875
6.2999999999999998,11.193595886230469,5.5487518310546875
6.4000000000000004,10.720916748046875,5.1348419189453125
6.5,10.291679382324219,4.6749420166015625
6.5999999999999996,9.8726577758789062,4.2635879516601562
6.7000000000000002,9.4919662475585938,3.9288787841796875
6.7999999999999998,9.0627212524414062,3.5686264038085938
6.9000000000000004,8.5542831420898438,3.180267333984375
7,8.1224822998046875,2.9119873046875
7.0999999999999996,7.8286590576171875,2.7689132690429688
7.2000000000000002,7.631927490234375,2.682037353515625
7.2999999999999998,7.4632949829101562,2.6130523681640625
7.4000000000000004,7.3432083129882812,2.5594024658203125
7.5,7.3023300170898438,2.5287399291992188
7.5999999999999996,7.3227691650390625,2.50830078125
7.7000000000000002,7.5169525146484375,2.5389633178710938
7.7999999999999998,7.9104156494140625,2.6692657470703125
7.9000000000000004,8.4060897827148438,2.9733123779296875
8,8.937530517578125,3.4434280395507812
8.0999999999999996,9.44342041015625,3.9263229370117188
8.1999999999999993,9.9109878540039062,4.358123779296875
8.3000000000000007,10.347892761230469,4.77203369140625
8.4000000000000004,10.754135131835938,5.1961593627929688
8.5,11.093948364257812,5.6305084228515625
8.5999999999999996,11.369888305664062,6.0393142700195312
8.6999999999999993,11.375,6.2360458374023438
8.8000000000000007,10.889549255371094,5.9652175903320312
8.9000000000000004,10.245689392089844,5.3928985595703125
9,9.7500228881835938,4.8895645141601562
9.0999999999999996,9.323333740234375,4.4654312133789062
9.1999999999999993,8.9170913696289062,4.025970458984375
9.3000000000000007,8.5389480590820312,3.6146163940429688
9.4000000000000004,8.22979736328125,3.2977981567382812
9.5,7.9768524169921875,3.0755081176757812
9.5999999999999996,7.7801132202148438,2.9247665405273438
9.6999999999999993,7.6165924072265625,2.766357421875
9.8000000000000007,7.4121932983398438,2.56451416015625
9.9000000000000004,7.2410125732421875,2.4418716430664062
10,7.2026824951171875,2.426544189453125
10.1,7.3508758544921875,2.5057449340820312
10.199999999999999,7.7750015258789062,2.7535781860351562
10.300000000000001,8.385650634765625,3.1317214965820312
10.4,8.9784088134765625,3.548187255859375
10.5,9.55328369140625,3.9927520751953125
10.6,10.153709411621094,4.4271087646484375
10.699999999999999,10.646827697753906,4.7822494506835938
10.800000000000001,10.958534240722656,5.0147552490234375
10.9,11.196151733398438,5.239593505859375
11,11.247245788574219,5.4950942993164062
11.1,10.925315856933594,5.50787353515625
11.199999999999999,10.452644348144531,5.221710205078125
11.300000000000001,9.949310302734375,4.8001327514648438
11.4,9.4178695678710938,4.337677001953125
11.5,8.9400863647460938,3.9186630249023438
11.6,8.5542831420898438,3.5762939453125
11.699999999999999,8.201690673828125,3.2185897827148438
11.800000000000001,7.8312149047851562,2.8685531616210938
11.9,7.5348358154296875,2.6667098999023438
12,7.3534317016601562,2.5747299194335938
12.1,7.243560791015625,2.5210723876953125
12.199999999999999,7.1771316528320312,2.4776382446289062
12.300000000000001,7.1643600463867188,2.462310791015625
12.4,7.3432083129882812,2.5312957763671875
12.5,7.8209915161132812,2.7356948852539062
12.6,8.495513916015625,3.0397415161132812
12.699999999999999,9.0882720947265625,3.2799072265625
12.800000000000001,9.6146011352539062,3.5328521728515625
12.9,10.148597717285156,3.933990478515625
13,10.603385925292969,4.3836669921875
13.1,11.019851684570312,4.7745819091796875
13.199999999999999,11.385215759277344,5.1067352294921875
13.300000000000001,11.599838256835938,5.4031143188476562
13.4,11.436317443847656,5.5359725952148438
13.5,11.019851684570312,5.3903427124023438
13.6,10.549736022949219,4.963653564453125
13.699999999999999,10.010627746582031,4.411773681640625
13.800000000000001,9.4868545532226562,3.96209716796875
13.9,9.0346221923828125,3.6350555419921875
14,8.6309280395507812,3.3667831420898438
14.1,8.2604522705078125,3.1291656494140625
14.199999999999999,7.9742965698242188,2.940093994140625
14.300000000000001,7.7724456787109375,2.8174591064453125
14.4,7.631927490234375,2.7510223388671875
14.5,7.5373916625976562,2.6769332885742188
14.6,7.3994216918945312,2.5134124755859375
14.699999999999999,7.2870025634765625,2.3779983520507812
14.800000000000001,7.2972183227539062,2.38055419921875
14.9,7.4811782836914062,2.4955291748046875
15,7.9053115844726562,2.7356948852539062
15.1,8.4444122314453125,3.049957275390625
15.199999999999999,8.9860763549804688,3.4025497436523438
15.300000000000001,9.4766311645507812,3.8087921142578125
15.4,9.8982086181640625,4.2482528686523438
15.5,10.240577697753906,4.6034011840820312
15.6,10.450088500976562,4.82568359375
15.699999999999999,10.649375915527344,5.0633010864257812
15.800000000000001,10.889549255371094,5.387786865234375
15.9,10.9329833984375,5.6254043579101562
16,10.659599304199219,5.5743026733398438
16.100000000000001,10.286567687988281,5.2983627319335938
16.199999999999999,9.9595260620117188,4.9840927124023438
16.300000000000001,9.6580429077148438,4.6928253173828125
16.399999999999999,9.563507080078125,4.567626953125
16.5,9.6682586669921875,4.5446319580078125
16.600000000000001,9.379547119140625,4.2354812622070312
16.699999999999999,8.7970046997070312,3.7525863647460938
16.800000000000001,8.367767333984375,3.3795547485351562
16.899999999999999,8.0202865600585938,3.11639404296875
17,7.703460693359375,2.9196548461914062
17.100000000000001,7.4402999877929688,2.7152557373046875
17.199999999999999,7.2972183227539062,2.63604736328125
17.300000000000001,7.5552749633789062,2.8838882446289062
17.399999999999999,8.1940231323242188,3.4587631225585938
17.5,8.8429946899414062,4.082183837890625
17.600000000000001,9.1904754638671875,4.4833145141601562
17.699999999999999,9.2287979125976562,4.7694778442382812
17.800000000000001,9.3258895874023438,5.1680526733398438
17.899999999999999,9.6861419677734375,5.737823486328125
18,10.276351928710938,6.3663482666015625
18.100000000000001,10.65704345703125,6.859466552734375
18.199999999999999,10.516517639160156,6.8977890014648438
18.300000000000001,10.158821105957031,6.4046783447265625
18.399999999999999,9.81134033203125,5.7480392456054688
18.5,9.5149612426757812,5.2702560424804688
18.600000000000001,9.287567138671875,5.037750244140625
18.699999999999999,9.0525054931640625,4.88189697265625
18.800000000000001,8.7944488525390625,4.6570587158203125
18.899999999999999,8.55938720703125,4.3632278442382812
19,8.4009780883789062,4.08984375
19.100000000000001,8.283447265625,3.8164596557617188
19.199999999999999,8.0279464721679688,3.4076614379882812
19.300000000000001,7.6549224853515625,2.9707565307617188
19.399999999999999,7.3713150024414062,2.6973724365234375
19.5,7.2384567260742188,2.5210723876953125
19.600000000000001,7.189910888671875,2.370330810546875
19.699999999999999,7.1924667358398438,2.3090133666992188
19.800000000000001,7.4351882934570312,2.4878616333007812
19.899999999999999,7.9385223388671875,2.8506698608398438
20,8.5568313598632812,3.088287353515625
20.100000000000001,9.1240463256835938,3.0525131225585938
20.199999999999999,9.5200729370117188,3.1291656494140625
20.300000000000001,9.893096923828125,3.6350555419921875
20.399999999999999,10.327445983886719,4.3070220947265625
20.5,10.743911743164062,4.8691177368164062
20.600000000000001,10.961090087890625,5.24981689453125
20.699999999999999,10.835891723632812,5.3060226440429688
20.800000000000001,10.552291870117188,5.0096435546875
20.899999999999999,10.204811096191406,4.4909820556640625
21,9.7857894897460938,3.8573379516601562
21.100000000000001,9.4102020263671875,3.2977981567382812
21.199999999999999,9.0908279418945312,2.89410400390625
21.300000000000001,8.7637863159179688,2.5619583129882812
21.399999999999999,8.4188613891601562,2.2732391357421875
21.5,8.1122665405273438,2.0535125732421875
21.600000000000001,7.8925323486328125,1.9155426025390625
21.699999999999999,7.7315673828125,1.818450927734375
21.800000000000001,7.667694091796875,1.8082275390625
21.899999999999999,7.6140365600585938,1.8593292236328125
