<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
14.08.2025 10:22:51	1,53	2,18	2,01	2,59	1,39	1,79	4,76	5,32	14,59	37,22	0,00	45,60	531,78	1459,20	4254,24
14.08.2025 10:22:57	1,31	2,04	2,10	2,39	1,14	2,24	5,95	10,64	14,59	6,20	49,85	45,60	265,89	802,56	2977,97
14.08.2025 10:23:03	1,45	2,06	1,98	2,31	1,94	2,54	5,16	4,25	11,67	12,41	83,09	228,00	398,84	0,00	3190,68
14.08.2025 10:23:09	1,51	2,09	2,19	2,93	1,84	2,09	5,16	6,38	5,84	24,81	83,09	0,00	132,95	1240,32	4892,38
14.08.2025 10:23:15	1,30	2,22	1,97	1,79	1,34	2,54	5,95	8,51	23,35	18,61	16,62	91,20	265,89	875,52	3828,82
14.08.2025 10:23:21	1,29	2,24	2,01	2,02	1,94	1,94	3,57	9,57	8,76	18,61	66,47	91,20	265,89	218,88	4679,66
14.08.2025 10:23:27	1,40	2,31	1,71	2,33	1,69	1,94	4,76	4,25	8,76	0,00	49,85	45,60	265,89	802,56	5105,09
14.08.2025 10:23:33	1,45	2,28	2,28	2,39	2,38	2,84	6,75	7,44	8,76	12,41	0,00	136,80	0,00	1167,36	6168,65
14.08.2025 10:23:39	1,32	2,28	2,15	2,10	1,64	1,20	3,97	8,51	2,92	12,41	49,85	0,00	0,00	875,52	4892,38
14.08.2025 10:23:45	1,34	2,42	2,10	1,97	1,79	1,79	5,95	5,32	8,76	18,61	49,85	45,60	398,84	875,52	1701,70
14.08.2025 10:23:51	1,43	2,14	1,98	2,28	1,34	1,79	4,37	7,44	2,92	18,61	49,85	45,60	132,95	1094,40	3190,68
14.08.2025 10:23:57	1,44	2,13	2,10	2,10	1,89	1,94	5,56	13,83	11,67	18,61	0,00	91,20	664,73	364,80	4254,24
14.08.2025 10:24:03	1,29	2,25	1,82	2,10	1,59	2,39	3,57	8,51	11,67	0,00	16,62	45,60	265,89	145,92	1701,70
14.08.2025 10:24:09	1,34	2,27	2,19	2,57	1,79	2,99	5,56	10,64	14,59	18,61	16,62	136,80	0,00	1824,01	5317,80
14.08.2025 10:24:15	1,25	2,43	2,03	2,28	1,39	2,24	7,54	6,38	11,67	0,00	0,00	0,00	0,00	948,48	2552,54
14.08.2025 10:24:21	1,40	2,10	2,07	2,75	1,24	1,50	2,38	11,70	5,84	0,00	49,85	45,60	132,95	583,68	4679,66
14.08.2025 10:24:27	1,42	2,10	2,16	2,67	1,69	2,54	4,37	10,64	5,84	18,61	33,24	136,80	0,00	583,68	4679,66
14.08.2025 10:24:33	1,31	2,28	2,24	2,28	1,74	1,64	4,76	10,64	8,76	24,81	16,62	45,60	0,00	656,64	4466,95
14.08.2025 10:24:39	1,27	2,27	2,10	2,44	1,69	1,64	8,34	8,51	5,84	24,81	99,71	91,20	132,95	1021,44	4466,95
14.08.2025 10:24:45	1,35	2,44	2,20	2,52	1,74	1,64	4,76	11,70	2,92	24,81	16,62	45,60	132,95	437,76	2977,97
14.08.2025 10:24:51	1,42	2,26	2,32	2,02	1,59	2,09	3,18	10,64	2,92	18,61	33,24	45,60	0,00	729,60	3190,68
14.08.2025 10:24:57	1,37	2,26	2,23	2,05	1,34	2,69	4,76	12,76	8,76	43,42	66,47	0,00	398,84	510,72	3828,82
14.08.2025 10:25:03	1,20	2,10	2,23	2,13	1,24	2,54	4,37	13,83	5,84	18,61	49,85	91,20	0,00	729,60	3190,68
14.08.2025 10:25:09	1,51	2,20	2,01	2,46	1,44	2,09	5,95	4,25	11,67	18,61	16,62	0,00	398,84	656,64	3403,39
14.08.2025 10:25:15	1,23	2,20	1,98	2,39	2,08	1,05	5,16	6,38	5,84	6,20	49,85	91,20	132,95	1313,28	4679,66
14.08.2025 10:25:21	1,25	2,25	2,26	2,31	1,69	1,94	4,37	10,64	5,84	24,81	49,85	91,20	398,84	437,76	2977,97
14.08.2025 10:25:27	1,32	2,16	2,15	2,13	1,44	1,50	4,76	12,76	5,84	12,41	49,85	45,60	398,84	656,64	2339,83
14.08.2025 10:25:33	1,33	2,13	2,34	2,18	2,03	1,50	6,35	7,44	8,76	12,41	33,24	182,40	398,84	218,88	1488,98
14.08.2025 10:25:39	1,37	2,34	1,80	2,00	1,98	0,90	5,56	12,76	2,92	12,41	33,24	45,60	265,89	364,80	2127,12
14.08.2025 10:25:45	1,47	2,26	2,50	2,36	2,08	1,50	3,18	4,25	2,92	12,41	33,24	91,20	664,73	1532,16	4041,53
14.08.2025 10:25:51	1,31	2,19	2,26	1,92	1,84	1,64	3,97	10,64	5,84	6,20	33,24	45,60	265,89	1532,16	1914,41
14.08.2025 10:25:57	1,41	2,17	1,85	2,20	1,79	1,64	4,37	5,32	5,84	12,41	33,24	136,80	398,84	1459,20	3190,68
14.08.2025 10:26:03	1,35	2,08	2,10	2,15	1,49	1,64	4,76	4,25	14,59	0,00	49,85	45,60	265,89	1021,44	6594,07
