<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
14.08.2025 10:18:57	232,9	24,0	10,9	2496,6	320,2	59,8
14.08.2025 10:19:03	230,2	22,7	11,7	5777,0	487,9	49,3
14.08.2025 10:19:09	143,0	22,6	11,4	1249,0	191,1	46,6
14.08.2025 10:19:15	316,0	24,9	12,0	5245,9	502,3	52,0
14.08.2025 10:19:21	130,5	21,1	11,4	5245,1	341,2	40,5
14.08.2025 10:19:27	237,9	23,4	11,1	2463,4	362,0	51,4
14.08.2025 10:19:33	262,0	24,2	11,6	3666,6	381,8	45,5
14.08.2025 10:19:39	284,5	21,3	11,6	4016,3	442,8	61,4
14.08.2025 10:19:45	94,2	23,5	11,9	3505,8	234,2	38,1
14.08.2025 10:19:51	182,2	22,6	11,3	1354,3	231,4	53,0
14.08.2025 10:19:57	174,9	22,1	12,2	6674,2	495,2	34,9
14.08.2025 10:20:03	257,5	23,7	11,4	7164,5	589,8	57,3
14.08.2025 10:20:09	303,0	21,6	11,0	4593,1	495,4	54,6
14.08.2025 10:20:15	204,4	24,7	11,7	2505,4	284,2	50,1
14.08.2025 10:20:21	153,9	22,9	11,3	4054,3	336,9	57,3
14.08.2025 10:20:27	390,8	23,0	12,1	5902,0	620,2	45,4
14.08.2025 10:20:33	241,0	22,3	11,8	2507,4	329,9	56,5
14.08.2025 10:20:39	396,9	24,1	11,4	4832,8	594,5	63,7
14.08.2025 10:20:45	224,8	21,4	11,5	3672,0	335,6	33,9
14.08.2025 10:20:51	133,5	23,7	12,3	3269,7	238,6	45,4
14.08.2025 10:20:57	313,3	23,0	11,7	6014,1	575,5	46,4
14.08.2025 10:21:03	232,8	25,6	10,7	2125,3	320,5	45,7
14.08.2025 10:21:09	206,4	23,9	11,4	2456,7	290,3	53,7
14.08.2025 10:21:15	411,4	26,1	11,5	5972,3	682,3	51,7
14.08.2025 10:21:21	255,7	26,3	12,1	3214,3	376,5	56,9
14.08.2025 10:21:27	328,3	26,1	11,7	3991,5	489,3	68,3
14.08.2025 10:21:33	309,4	21,0	11,5	4573,8	540,5	32,5
14.08.2025 10:21:39	242,2	23,4	12,0	5219,9	463,5	48,0
14.08.2025 10:21:45	133,6	21,0	10,6	3906,5	316,6	33,8
14.08.2025 10:21:51	295,4	23,5	11,4	4972,4	562,2	46,7
14.08.2025 10:21:57	176,2	25,2	11,8	4522,3	358,7	63,4
14.08.2025 10:22:03	299,9	20,9	11,5	4557,2	455,2	37,0
14.08.2025 10:22:09	265,0	22,4	11,3	2716,2	346,6	38,4
14.08.2025 10:22:15	138,1	24,3	11,9	2355,0	211,5	50,2
14.08.2025 10:22:21	305,7	19,0	10,8	4744,9	499,3	41,2
14.08.2025 10:22:27	127,8	20,1	11,8	3462,8	270,4	33,7
14.08.2025 10:22:33	386,7	27,0	12,0	8223,6	762,7	69,8
14.08.2025 10:22:39	259,1	27,9	11,7	5619,9	482,1	66,5
14.08.2025 10:22:45	204,4	23,4	11,9	5318,8	419,5	37,4
14.08.2025 10:22:51	386,4	22,7	11,9	6366,9	692,0	54,1
14.08.2025 10:22:57	265,6	25,5	11,4	4192,8	459,2	52,9
14.08.2025 10:23:03	423,8	22,8	11,9	3949,0	563,3	61,4
14.08.2025 10:23:09	237,2	23,9	12,6	6406,3	529,3	55,9
14.08.2025 10:23:15	289,3	25,1	11,1	5147,9	517,6	58,5
14.08.2025 10:23:21	282,8	22,6	11,2	5376,3	470,1	55,7
14.08.2025 10:23:27	247,9	21,1	11,4	6300,6	501,7	39,6
14.08.2025 10:23:33	197,4	26,9	13,0	7524,3	517,8	46,2
14.08.2025 10:23:39	123,2	21,2	11,1	5858,5	367,0	40,5
14.08.2025 10:23:45	323,4	22,7	11,5	3123,9	492,2	50,3
14.08.2025 10:23:51	222,9	21,7	11,4	4560,3	449,9	45,6
14.08.2025 10:23:57	404,2	27,3	12,1	5438,8	599,6	54,2
14.08.2025 10:24:03	193,2	22,1	11,1	2213,2	274,3	38,3
14.08.2025 10:24:09	256,0	27,2	12,4	7360,1	625,2	56,9
14.08.2025 10:24:15	85,1	24,8	11,5	3540,4	262,6	34,9
14.08.2025 10:24:21	185,5	22,0	11,5	5525,2	399,5	41,1
14.08.2025 10:24:27	198,0	25,0	12,3	5487,9	416,9	52,0
14.08.2025 10:24:33	135,2	24,4	11,7	5248,5	345,5	49,5
14.08.2025 10:24:39	303,4	26,2	11,8	5873,3	570,9	65,4
14.08.2025 10:24:45	173,5	24,9	12,1	3669,3	320,8	47,4
14.08.2025 10:24:51	140,4	22,8	11,8	4048,7	322,4	44,5
14.08.2025 10:24:57	317,5	26,1	11,8	4888,9	508,9	68,6
14.08.2025 10:25:03	190,2	25,0	11,1	4117,5	379,2	54,4
14.08.2025 10:25:09	257,5	23,1	12,0	4530,4	443,9	44,7
14.08.2025 10:25:15	254,8	21,5	11,1	6303,6	552,0	43,1
14.08.2025 10:25:21	338,1	23,8	11,5	4015,1	502,0	56,1
14.08.2025 10:25:27	309,4	24,3	11,3	3539,5	472,7	50,4
14.08.2025 10:25:33	364,2	24,2	11,8	2371,1	467,5	52,2
14.08.2025 10:25:39	225,8	24,7	11,4	2883,1	345,5	45,6
14.08.2025 10:25:45	465,5	20,1	12,2	6400,3	781,9	41,0
