<Header>
User name: 
Location: airlock
# of Location: 3
Model: 1.109
Serial No.: 9G070015
Firmware revision: 12.30E
Software revision: 1178 V8-26 (18--12-2023)
Unit: ug/m3
C-factor: 1,00
Comment: test room aersol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
14.08.2025 10:18:10	38,1	5,2	4,4	82,3	46,8	9,6
14.08.2025 10:18:16	47,8	6,4	4,6	53,8	41,0	10,9
14.08.2025 10:18:22	38,9	9,1	4,7	39,6	34,6	14,1
14.08.2025 10:18:28	14,2	5,6	4,5	14,2	13,3	7,3
14.08.2025 10:18:34	65,2	8,1	4,6	76,2	56,0	12,8
14.08.2025 10:18:40	32,6	7,7	4,7	33,0	29,4	11,6
14.08.2025 10:18:46	42,3	10,7	4,8	52,3	39,4	15,2
14.08.2025 10:18:52	51,2	11,1	4,9	78,9	51,8	15,5
14.08.2025 10:18:58	46,0	8,0	4,6	47,4	39,0	12,2
14.08.2025 10:19:04	34,5	7,8	4,5	34,9	31,3	12,8
14.08.2025 10:19:10	18,1	7,8	4,3	18,1	16,9	9,6
14.08.2025 10:19:16	26,8	6,9	4,7	27,1	23,9	9,5
14.08.2025 10:19:22	37,6	12,3	4,6	75,7	41,9	16,3
14.08.2025 10:19:28	22,1	8,0	4,6	80,1	28,1	11,9
14.08.2025 10:19:34	14,2	7,2	4,4	14,2	13,9	9,0
14.08.2025 10:19:40	30,7	6,9	4,5	36,1	27,8	9,8
14.08.2025 10:19:46	32,7	8,4	4,5	33,4	28,6	11,7
14.08.2025 10:19:52	18,4	11,9	4,8	18,4	18,3	14,0
14.08.2025 10:19:58	23,4	8,0	4,6	23,4	21,6	10,7
14.08.2025 10:20:04	35,7	5,0	4,6	40,7	31,9	8,1
14.08.2025 10:20:10	12,8	6,8	4,5	12,8	12,7	9,1
14.08.2025 10:20:16	36,5	5,0	4,2	68,6	39,6	8,6
14.08.2025 10:20:22	48,2	7,4	4,3	53,2	43,5	12,4
14.08.2025 10:20:28	25,1	6,2	4,5	30,5	22,6	8,6
14.08.2025 10:20:34	36,0	8,8	4,4	41,0	33,7	13,5
14.08.2025 10:20:40	23,0	6,9	4,6	61,1	28,9	10,6
14.08.2025 10:20:46	30,1	10,9	4,5	30,8	26,7	13,9
14.08.2025 10:20:52	21,4	6,7	4,7	59,1	28,3	10,2
14.08.2025 10:20:58	45,2	7,9	4,7	45,9	40,3	13,1
14.08.2025 10:21:04	33,5	10,0	4,8	60,6	37,5	13,3
14.08.2025 10:21:10	37,0	9,5	4,4	42,0	33,7	13,3
14.08.2025 10:21:16	28,1	5,3	4,5	33,1	26,1	8,6
14.08.2025 10:21:22	21,9	4,9	4,3	21,9	20,3	8,0
14.08.2025 10:21:28	38,0	8,0	4,5	60,8	38,9	11,0
14.08.2025 10:21:34	16,9	6,6	4,6	55,0	23,0	8,5
14.08.2025 10:21:40	31,9	8,0	4,6	37,3	28,6	10,6
14.08.2025 10:21:46	31,0	5,3	4,5	31,0	28,1	9,5
14.08.2025 10:21:52	28,9	8,7	4,5	29,2	26,6	12,5
14.08.2025 10:21:58	37,2	7,0	4,5	47,6	33,7	10,1
14.08.2025 10:22:04	34,3	7,6	4,7	35,0	30,0	11,2
14.08.2025 10:22:10	27,9	7,6	4,8	33,2	25,3	10,3
14.08.2025 10:22:16	23,5	8,6	4,8	23,5	22,1	11,5
14.08.2025 10:22:22	38,8	7,5	4,5	44,1	35,5	13,1
14.08.2025 10:22:28	29,5	8,3	4,4	29,5	28,2	13,8
14.08.2025 10:22:34	25,2	11,9	4,6	25,2	24,5	15,5
14.08.2025 10:22:40	28,8	5,7	4,5	29,2	24,5	7,0
14.08.2025 10:22:46	27,0	10,3	4,8	27,0	25,9	14,6
14.08.2025 10:22:52	16,8	5,4	4,5	16,8	16,2	8,3
14.08.2025 10:22:58	32,1	11,0	4,2	32,5	29,5	15,2
14.08.2025 10:23:04	59,6	11,2	4,8	75,3	53,5	16,4
14.08.2025 10:23:10	32,3	8,4	4,6	37,7	29,0	11,0
14.08.2025 10:23:16	37,2	8,4	4,7	42,5	33,4	11,7
14.08.2025 10:23:22	23,6	6,4	4,4	23,9	21,2	8,9
14.08.2025 10:23:28	39,3	7,7	4,5	44,7	36,0	12,7
14.08.2025 10:23:34	22,7	5,3	4,4	23,4	19,3	6,8
14.08.2025 10:23:40	11,1	5,9	4,4	11,1	11,0	8,2
14.08.2025 10:23:46	25,8	6,5	4,7	52,5	30,7	9,7
14.08.2025 10:23:52	23,6	5,2	4,4	23,9	21,6	9,2
14.08.2025 10:23:58	18,1	7,5	4,4	18,1	18,0	11,6
14.08.2025 10:24:04	16,5	6,5	4,4	16,5	16,1	9,3
14.08.2025 10:24:10	11,0	7,8	4,5	11,0	11,0	9,2
14.08.2025 10:24:16	23,1	8,8	4,9	23,1	22,1	12,4
14.08.2025 10:24:22	39,3	8,5	4,4	45,0	34,3	11,4
14.08.2025 10:24:28	16,5	5,6	4,4	21,5	15,6	6,8
14.08.2025 10:24:34	28,1	10,3	4,8	28,1	26,7	14,4
14.08.2025 10:24:40	18,6	5,3	4,6	23,6	17,6	6,9
