<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
14.08.2025 14:37:11	109,0	6,1	2,5	1127,8	152,4	13,3
14.08.2025 14:37:17	52,2	4,6	2,3	558,1	94,6	8,6
14.08.2025 14:37:23	8,5	6,6	2,5	8,9	8,9	8,4
14.08.2025 14:37:29	37,5	4,1	2,4	963,9	74,2	11,6
14.08.2025 14:37:35	46,7	4,2	2,2	2235,4	152,5	14,1
14.08.2025 14:37:41	28,3	4,4	2,1	808,4	64,8	9,5
14.08.2025 14:37:47	46,8	4,2	2,1	1173,5	122,4	9,8
14.08.2025 14:37:53	18,5	4,0	2,1	21,7	20,7	7,7
14.08.2025 14:37:59	28,1	6,0	2,1	1438,7	98,6	9,2
14.08.2025 14:38:05	73,4	4,2	2,0	643,3	115,1	6,1
14.08.2025 14:38:11	6,0	5,1	2,1	6,3	6,3	6,0
14.08.2025 14:38:17	77,6	4,9	1,8	161,0	84,2	12,7
14.08.2025 14:38:23	15,3	3,8	1,8	16,7	16,6	9,7
14.08.2025 14:38:29	3,4	2,9	1,7	3,5	3,5	3,3
14.08.2025 14:38:35	34,7	3,6	1,4	41,1	39,0	12,3
14.08.2025 14:38:41	4,9	4,0	1,8	5,1	5,1	4,8
14.08.2025 14:38:47	32,5	3,5	1,6	1156,2	106,2	6,3
14.08.2025 14:38:53	8,3	3,7	1,7	928,6	40,9	4,6
14.08.2025 14:38:59	7,4	3,3	1,6	927,7	40,1	3,8
14.08.2025 14:39:05	69,9	2,6	1,4	152,7	75,9	6,4
14.08.2025 14:39:11	35,2	4,6	1,9	1015,4	110,4	6,1
14.08.2025 14:39:17	4,0	3,0	1,6	4,1	4,1	3,9
14.08.2025 14:39:23	3,4	2,9	1,3	3,5	3,5	3,4
14.08.2025 14:39:29	15,2	3,8	1,4	648,8	51,2	4,3
14.08.2025 14:39:35	38,0	2,5	1,2	1307,8	111,7	5,5
14.08.2025 14:39:41	2,9	2,5	1,3	3,0	3,0	2,9
14.08.2025 14:39:47	14,3	2,7	1,2	15,6	15,5	8,6
14.08.2025 14:39:53	113,6	2,3	1,2	273,6	122,0	6,8
