<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:30:50	149,0	27,7	19,2	10,6	6,2	17,1	92,9	42,2	15,7	25,9	8,3	5,0
14.08.2025 10:30:56	98,5	36,4	21,4	11,8	6,4	24,6	72,9	47,0	17,3	37,6	9,2	5,2
14.08.2025 10:31:02	76,5	26,7	14,4	9,0	5,8	17,7	57,0	36,3	12,3	29,2	7,1	4,7
14.08.2025 10:31:08	72,3	40,9	18,9	10,5	6,6	30,4	61,2	47,3	15,4	45,9	8,2	5,4
14.08.2025 10:31:14	19,8	19,5	13,5	9,4	5,8	10,1	20,6	20,2	12,0	20,6	7,4	4,7
14.08.2025 10:31:20	52,1	32,1	18,0	10,2	6,3	21,9	44,1	35,2	14,7	33,9	8,0	5,0
14.08.2025 10:31:26	55,3	36,4	22,3	12,2	6,5	24,2	47,7	39,3	18,6	37,6	9,5	5,2
14.08.2025 10:31:32	35,0	28,2	14,7	8,3	6,2	19,8	33,8	30,4	13,0	31,2	6,6	5,0
14.08.2025 10:31:38	59,0	16,8	13,4	9,8	6,5	7,0	40,1	22,8	10,6	15,0	7,7	5,2
14.08.2025 10:31:44	101,3	22,3	19,7	11,7	6,4	10,6	59,0	25,7	15,1	17,1	9,2	5,2
14.08.2025 10:31:50	53,7	29,6	18,4	10,6	5,6	19,0	42,7	32,6	14,8	29,9	8,3	4,5
14.08.2025 10:31:56	70,3	32,5	15,3	9,1	6,4	23,4	57,5	41,4	13,2	37,1	7,2	5,1
14.08.2025 10:32:02	81,1	32,6	21,4	11,6	5,8	21,0	59,6	39,5	17,2	31,9	9,0	4,7
14.08.2025 10:32:08	120,9	33,9	20,4	10,7	6,1	23,2	79,4	42,2	16,7	34,8	8,4	4,9
14.08.2025 10:32:14	324,1	32,3	12,9	7,3	5,8	25,0	156,2	42,1	11,2	38,4	5,8	4,7
14.08.2025 10:32:20	24,8	24,2	16,0	9,2	6,5	15,0	24,8	24,1	13,9	24,8	7,3	5,3
14.08.2025 10:32:26	57,7	37,0	14,6	8,7	6,1	28,3	51,9	42,3	12,3	44,1	6,9	5,0
14.08.2025 10:32:32	31,4	28,1	17,0	10,1	6,2	17,9	29,9	27,8	14,6	29,7	8,0	5,0
14.08.2025 10:32:38	57,4	32,2	14,7	7,9	5,6	24,4	50,0	38,8	12,6	37,2	6,2	4,5
14.08.2025 10:32:44	98,6	29,4	12,2	9,1	6,7	20,3	73,8	44,8	10,7	35,7	7,2	5,4
14.08.2025 10:32:50	453,0	42,1	23,7	13,0	6,4	29,1	229,6	66,2	19,7	44,9	10,1	5,2
14.08.2025 10:32:56	94,8	28,8	15,5	9,3	6,1	19,4	68,9	41,8	12,9	31,1	7,3	4,9
14.08.2025 10:33:02	105,9	25,8	14,9	8,7	6,4	17,1	69,9	35,4	13,2	28,0	6,9	5,1
14.08.2025 10:33:08	24,4	22,4	15,0	10,7	6,6	11,7	22,5	21,1	12,2	22,4	8,4	5,3
14.08.2025 10:33:14	35,6	29,1	19,7	11,1	6,4	17,9	29,9	26,8	15,4	27,3	8,7	5,2
14.08.2025 10:33:20	67,2	24,9	17,7	10,2	6,1	14,8	48,9	31,4	14,6	23,8	7,9	4,9
14.08.2025 10:33:26	21,1	21,1	17,9	11,2	6,7	10,0	16,8	16,8	14,0	16,8	8,7	5,4
14.08.2025 10:33:32	51,9	26,2	12,3	8,4	6,3	17,9	43,8	32,7	10,8	31,0	6,6	5,1
14.08.2025 10:33:38	40,5	22,4	14,5	9,8	6,3	12,7	34,2	26,7	12,7	24,0	7,7	5,1
14.08.2025 10:33:44	13,2	13,1	9,8	7,6	6,7	5,5	13,0	12,8	8,5	13,0	6,1	5,4
14.08.2025 10:33:50	14,6	14,5	11,4	7,6	6,1	7,0	12,9	12,8	9,4	12,9	6,0	5,0
