<Header>
User name: CF
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: log data
C-factor: 1,00
Comment: test room aerosol conditions
online data
K-line: K	576	922	1782	0	0	32	81	0	0	0	0	
analog inputs: Input 1:	offset: 0,00	factor: 0,00	connected: no;Input 2:	offset: 0,00	factor: 0,00	connected: no;Input 3:	offset: 0,00	factor: 0,00	connected: no;Input 4:	offset: 0,00	factor: 0,00	connected: no
<Data>
[d&t31.12.2035 11:50:55]	P	Year	Month	Day	Hour	Minute	Loc	GF	Error	Qbatt	Im	UeL	UE4	UE3	UE2	UE1	IV
14.08.2025 11:18:56	P	25	8	14	11	18	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:19:56	P	25	8	14	11	19	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:20:56	P	25	8	14	11	20	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:21:56	P	25	8	14	11	21	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:22:56	P	25	8	14	11	22	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:23:56	P	25	8	14	11	23	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:24:56	P	25	8	14	11	24	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:25:56	P	25	8	14	11	25	1	20	0	130	42	1	5	0	0	0	6	
14.08.2025 11:26:56	P	25	8	14	11	26	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:27:56	P	25	8	14	11	27	1	20	0	130	42	1	5	0	0	0	6	
14.08.2025 11:28:57	P	25	8	14	11	28	1	20	0	130	42	1	5	0	0	0	6	
14.08.2025 11:29:57	P	25	8	14	11	29	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:30:57	P	25	8	14	11	30	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:31:57	P	25	8	14	11	31	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:32:56	P	25	8	14	11	32	1	20	0	130	43	0	5	0	0	0	6	
14.08.2025 11:33:57	P	25	8	14	11	33	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:34:56	P	25	8	14	11	34	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:35:56	P	25	8	14	11	35	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:36:56	P	25	8	14	11	36	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:37:56	P	25	8	14	11	37	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:38:56	P	25	8	14	11	38	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:39:56	P	25	8	14	11	39	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:40:56	P	25	8	14	11	40	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:41:56	P	25	8	14	11	41	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:42:56	P	25	8	14	11	42	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:43:56	P	25	8	14	11	43	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:44:56	P	25	8	14	11	44	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:45:56	P	25	8	14	11	45	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:46:56	P	25	8	14	11	46	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:47:56	P	25	8	14	11	47	1	20	0	130	46	1	5	0	0	0	6	
14.08.2025 11:48:56	P	25	8	14	11	48	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:50:56	P	25	8	14	11	50	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:51:56	P	25	8	14	11	51	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:52:56	P	25	8	14	11	52	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:53:56	P	25	8	14	11	53	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:54:56	P	25	8	14	11	54	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:55:56	P	25	8	14	11	55	1	20	0	130	43	1	5	0	0	0	6	
14.08.2025 11:56:56	P	25	8	14	11	56	1	20	0	130	44	1	5	0	0	0	6	
14.08.2025 11:57:56	P	25	8	14	11	57	1	20	0	130	44	1	5	0	0	0	6	
