Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm),Datensatz 2:Zeit(s),Datensatz 2:Force 1(N),Datensatz 2:Respiration Rate 1(bpm),Datensatz 2:Force 2(N),Datensatz 2:Respiration Rate 2(bpm),Datensatz 3:Zeit(s),Datensatz 3:Force 1(N),Datensatz 3:Respiration Rate 1(bpm),Datensatz 3:Force 2(N),Datensatz 3:Respiration Rate 2(bpm),Datensatz 4:Zeit(s),Datensatz 4:Force 1(N),Datensatz 4:Respiration Rate 1(bpm),Datensatz 4:Force 2(N),Datensatz 4:Respiration Rate 2(bpm)
0,14.885566711425781,22.372880935668945,12.2965087890625,22.357723236083984,0,10.529296875,21.398002624511719,8.4716720581054688,21.413276672363281,0,12.808357238769531,20.761245727539062,10.101760864257812,20.775623321533203,0,14.361793518066406,0,10.909141540527344,14.457831382751465
0.10000000000000001,13.973434448242188,,11.742073059082031,,0.10000000000000001,11.589622497558594,,9.1155319213867188,,0.10000000000000001,11.479751586914062,,9.3863601684570312,,0.10000000000000001,12.698486328125,,9.9356842041015625,
0.20000000000000001,12.703598022460938,,10.911697387695312,,0.20000000000000001,13.099624633789062,,9.9714584350585938,,0.20000000000000001,10.10516357421875,,8.6735153198242188,,0.20000000000000001,10.772018432617188,,8.7092819213867188,
0.29999999999999999,12.062294006347656,,10.408363342285156,,0.29999999999999999,14.027091979980469,,10.393028259277344,,0.29999999999999999,9.9135360717773438,,8.5764236450195312,,0.29999999999999999,10.401542663574219,,8.3541412353515625,
0.40000000000000002,11.510414123535156,,9.9637908935546875,,0.40000000000000002,14.972442626953125,,10.80438232421875,,0.40000000000000002,9.7449111938476562,,8.4716720581054688,,0.40000000000000002,10.25335693359375,,8.1957321166992188,
0.5,10.978973388671875,,9.5422134399414062,,0.5,15.915233612060547,,11.202964782714844,,0.5,9.6503753662109375,,8.4333419799804688,,0.5,10.128158569335938,,8.0986404418945312,
0.59999999999999998,10.465415954589844,,9.194732666015625,,0.59999999999999998,16.814594268798828,,11.583663940429688,,0.59999999999999998,9.5456161499023438,,8.3541412353515625,,0.59999999999999998,9.801116943359375,,7.9785537719726562,
0.69999999999999996,10.061729431152344,,8.9366836547851562,,0.69999999999999996,17.662853240966797,,11.938804626464844,,0.69999999999999996,9.8087844848632812,,8.3873519897460938,,0.69999999999999996,9.4459762573242188,,7.797149658203125,
0.80000000000000004,9.765350341796875,,8.7399444580078125,,0.80000000000000004,18.480453491210938,,12.281173706054688,,0.80000000000000004,10.62127685546875,,8.6505203247070312,,0.80000000000000004,9.5609512329101562,,7.7537155151367188,
0.90000000000000002,9.3999862670898438,,8.6198577880859375,,0.90000000000000002,19.052772521972656,,12.577552795410156,,0.90000000000000002,11.456756591796875,,9.0874252319335938,,0.90000000000000002,10.383659362792969,,8.0654220581054688,
1,8.8506622314453125,,8.4818878173828125,,,,,,,1,12.197708129882812,,9.600982666015625,,1,11.587066650390625,,8.7425003051757812,
1.1000000000000001,8.3192214965820312,,8.2877120971679688,,,,,,,1.1000000000000001,13.155838012695312,,10.137527465820312,,1.1000000000000001,12.759811401367188,,9.5371017456054688,
1.2,8.1071548461914062,,8.1880645751953125,,,,,,,1.2,14.251930236816406,,10.686859130859375,,1.2,13.993873596191406,,10.203964233398438,
1.3,8.1020431518554688,,8.182952880859375,,,,,,,1.3,15.325027465820312,,11.220848083496094,,1.3,15.445114135742188,,10.796722412109375,
1.3999999999999999,8.1480331420898438,,8.2008438110351562,,,,,,,1.3999999999999999,16.255050659179688,,11.793167114257812,,1.3999999999999999,16.868247985839844,,11.381813049316406,
1.5,8.5082931518554688,,8.2953720092773438,,,,,,,1.5,17.192733764648438,,12.309280395507812,,1.5,18.145748138427734,,11.851936340332031,
1.6000000000000001,9.1342620849609375,,8.7143936157226562,,,,,,,1.6000000000000001,18.194293975830078,,12.684867858886719,,1.6000000000000001,19.461574554443359,,12.309280395507812,
1.7,9.8522186279296875,,9.4732284545898438,,,,,,,1.7,19.006782531738281,,12.927589416503906,,1.7,20.787620544433594,,12.858604431152344,
1.8,10.91510009765625,,10.3087158203125,,,,,,,1.8,19.264839172363281,,12.930145263671875,,1.8,21.955253601074219,,13.390045166015625,
1.8999999999999999,12.305015563964844,,11.144203186035156,,,,,,,1.8999999999999999,18.618423461914062,,12.707862854003906,,1.8999999999999999,22.729419708251953,,13.742637634277344,
2,13.812469482421875,,11.867263793945312,,,,,,,2,17.535102844238281,,12.526458740234375,,2,22.711532592773438,,13.686424255371094,
