Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
10,6.57415771484375,20.270269393920898,0.03250885009765625,3.4090909957885742
10.25,6.5511627197265625,,-0.02881622314453125,
10.5,6.4566268920898438,,-0.09268951416015625,
10.75,6.4080810546875,,-0.0901336669921875,
11,6.252227783203125,,-0.05181121826171875,
11.25,5.937957763671875,,-0.003265380859375,
11.5,5.5572662353515625,,-0.0083770751953125,
11.75,5.1408004760742188,,0.01717376708984375,
12,4.724334716796875,,0.014617919921875,
12.25,4.4202880859375,,-0.07991790771484375,
12.5,4.1673431396484375,,-0.1540069580078125,
12.75,4.024261474609375,,0.0299530029296875,
13,3.9425048828125,,0.28034210205078125,
13.25,3.914398193359375,,0.23946380615234375,
13.5,3.8811874389648438,,0.042724609375,
13.75,3.8326416015625,,-0.1412353515625,
14,3.7074432373046875,,-0.19489288330078125,
14.25,3.5541458129882812,,0.04528045654296875,
14.5,3.4519424438476562,,0.494964599609375,
14.75,3.4391708374023438,,0.51540374755859375,
15,3.538818359375,,0.5077362060546875,
15.25,3.7202224731445312,,1.0698394775390625,
15.5,3.8454132080078125,,1.2282485961914062,
15.75,3.9169540405273438,,0.9114227294921875,
16,4.0012664794921875,,0.94208526611328125,
16.25,4.1392364501953125,,0.7938995361328125,
16.5,4.2516632080078125,,0.09638214111328125,
16.75,4.190338134765625,,-0.04669952392578125,
17,4.1009140014648438,,0.0120697021484375,
17.25,4.2848739624023438,,-0.43505859375,
17.5,4.8418655395507812,,-0.00582122802734375,
17.75,5.4678421020507812,,1.7290267944335938,
18,5.9302978515625,,5.589630126953125,
18.25,5.94818115234375,,7.613189697265625,
18.5,5.47039794921875,,5.8272476196289062,
18.75,5.1331329345703125,,7.025543212890625,
19,5.9124069213867188,,12.301612854003906,
19.25,7.869537353515625,,18.229213714599609,
19.5,10.838447570800781,,27.764472961425781,
19.75,14.223823547363281,,39.821517944335938,
20,18.452350616455078,3.1282587051391602,54.259822845458984,0
20.25,20.419700622558594,,65.141571044921875,
20.5,19.068103790283203,,66.758880615234375,
20.75,16.073642730712891,,58.327384948730469,
21,12.948875427246094,,41.612575531005859,
21.25,11.214035034179688,,25.973419189453125,
21.5,10.084724426269531,,16.844406127929688,
21.75,9.5660629272460938,,13.057891845703125,
22,9.4102020263671875,,10.735397338867188,
22.25,9.1930313110351562,,8.8702468872070312,
22.5,8.7510147094726562,,7.6336288452148438,
22.75,8.3524322509765625,,7.2478256225585938,
23,8.0202865600585938,,6.8645782470703125,
23.25,7.8823165893554688,,6.6167373657226562,
23.5,8.4239730834960938,,6.64739990234375,
23.75,9.5507278442382812,,7.7102813720703125,
24,10.838447570800781,,10.165634155273438,
24.25,11.924324035644531,,12.781951904296875,
24.5,12.752143859863281,,15.321624755859375,
24.75,12.478759765625,,15.715095520019531,
25,11.341781616210938,,13.479469299316406,
25.25,10.457756042480469,,10.697074890136719,
25.5,9.6989212036132812,,8.4103469848632812,
25.75,9.1700363159179688,,7.3755722045898438,
26,8.8762130737304688,,6.94122314453125,
26.25,8.8225555419921875,,6.8671340942382812,
26.5,8.9349746704101562,,6.9948806762695312,
26.75,9.047393798828125,,7.1660690307617188,
27,9.2287979125976562,,7.2529373168945312,
27.25,10.005516052246094,,8.2340545654296875,
27.5,11.308570861816406,,10.630645751953125,
27.75,12.305015563964844,,13.060447692871094,
28,12.976982116699219,,15.204093933105469,
28.25,13.319351196289062,,16.627227783203125,
28.5,13.247817993164062,,17.258316040039062,
28.75,12.596290588378906,,15.086563110351562,
29,11.285575866699219,,11.254066467285156,
29.25,9.4229812622070312,,9.3480377197265625,
29.5,7.539947509765625,,8.7118377685546875,
29.75,6.27777099609375,,8.4844436645507812,
30,5.240447998046875,6.5359477996826172,7.75115966796875,0
