Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N)
83.5,11.87066650390625,7.3602447509765625
84,13.549301147460938,11.353713989257812
84.5,14.6121826171875,14.455482482910156
85,15.399124145507812,16.969596862792969
85.5,16.017433166503906,18.980384826660156
86,16.14007568359375,19.539928436279297
86.5,15.061866760253906,17.416725158691406
87,12.223258972167969,11.678192138671875
87.5,9.9339828491210938,5.5794143676757812
88,9.0320663452148438,2.8072357177734375
88.5,7.7085723876953125,2.0075225830078125
89,6.6584701538085938,1.818450927734375
89.5,6.3493118286132812,1.7034759521484375
90,7.3329925537109375,2.242584228515625
90.5,9.9109878540039062,4.4424362182617188
91,12.550300598144531,9.3378143310546875
91.5,14.737380981445312,16.8214111328125
92,16.416015625,22.567604064941406
92.5,17.052207946777344,24.149150848388672
93,16.668960571289062,22.521614074707031
93.5,14.985214233398438,18.47705078125
94,11.9268798828125,12.835609436035156
94.5,9.6120529174804688,7.5825271606445312
95,9.1163787841796875,4.376007080078125
95.5,8.3498764038085938,2.5619583129882812
96,7.12603759765625,1.9334259033203125
96.5,6.4796218872070312,1.7801284790039062
97,6.3365402221679688,1.762237548828125
97.5,8.2144622802734375,3.2390289306640625
98,11.451652526855469,8.7757186889648438
98.5,13.912117004394531,17.812751770019531
99,15.493659973144531,25.840560913085938
99.5,16.559093475341797,31.407905578613281
100,17.343479156494141,35.000232696533203
100.5,17.920909881591797,36.507682800292969
101,17.225948333740234,33.628200531005859
101.5,14.22637939453125,25.439426422119141
102,11.027519226074219,16.703880310058594
102.5,9.25946044921875,10.385368347167969
103,8.6207122802734375,6.2283782958984375
103.5,8.4699630737304688,3.9672088623046875
104,7.9410781860351562,2.9247665405273438
104.5,7.0544967651367188,2.12249755859375
105,6.4182968139648438,1.5961685180664062
105.5,5.8919677734375,1.3381118774414062
106,5.3451995849609375,0.9855194091796875
106.5,4.91851806640625,0.62015533447265625
107,4.6860122680664062,0.55628204345703125
107.5,4.66046142578125,0.76323699951171875
108,4.780548095703125,1.1311569213867188
108.5,5.128021240234375,1.7980117797851562
109,6.0606002807617188,3.0244140625
109.5,7.1132583618164062,4.1128387451171875
110,7.4070816040039062,4.0310821533203125
110.5,7.7009124755859375,4.3351287841796875
111,8.4367523193359375,5.1578369140625
111.5,8.4699630737304688,4.62384033203125
112,7.8133316040039062,3.30035400390625
112.5,7.355987548828125,2.5951690673828125
113,7.4965057373046875,2.738250732421875
113.5,8.5670547485351562,4.0489654541015625
114,9.0346221923828125,4.7107086181640625
114.5,8.33966064453125,3.7270355224609375
115,7.8031082153320312,2.71014404296875
115.5,7.9283065795898438,2.63604736328125
116,8.9809646606445312,3.8624496459960938
116.5,9.5149612426757812,4.2763595581054688
117,8.9707412719726562,3.364227294921875
117.5,8.5287322998046875,2.7356948852539062
118,8.2400131225585938,2.4086532592773438
118.5,8.04583740234375,2.2579116821289062
119,8.3600997924804688,2.3856582641601562
119.5,9.0703887939453125,2.8378982543945312
120,9.1163787841796875,2.89410400390625
120.5,8.55938720703125,2.4546432495117188
121,8.2885589599609375,2.2732391357421875
121.5,8.9170913696289062,2.8711090087890625
122,10.250801086425781,4.3708953857421875
122.5,10.485862731933594,4.5625228881835938
123,9.645263671875,3.4766464233398438
123.5,9.4638595581054688,3.2415847778320312
124,10.802680969238281,4.337677001953125
124.5,11.165489196777344,4.4833145141601562
125,9.7602386474609375,3.1317214965820312
125.5,9.747467041015625,3.2288131713867188
126,10.751579284667969,4.47564697265625
126.5,10.335113525390625,4.245697021484375
127,9.7065811157226562,3.5711822509765625
127.5,10.623832702636719,4.2227020263671875
128,10.646827697753906,4.0872879028320312
128.5,9.1061630249023438,2.848114013671875
129,8.183807373046875,2.2527999877929688
129.5,9.0422821044921875,2.8046798706054688
130,10.414321899414062,3.7168121337890625
130.5,10.066841125488281,3.438323974609375
131,8.955413818359375,2.6411590576171875
131.5,8.827667236328125,2.6309432983398438
132,10.048957824707031,3.5890655517578125
132.5,11.244697570800781,4.634063720703125
133,10.741355895996094,4.1716079711914062
133.5,9.3667678833007812,3.0627365112304688
134,8.4009780883789062,2.4546432495117188
134.5,8.661590576171875,2.7126998901367188
135,10.156265258789062,3.9672088623046875
135.5,10.91510009765625,4.6723861694335938
136,9.9518661499023438,3.7653579711914062
136.5,8.6692581176757812,2.7050323486328125
