<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: ug/m3
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	PM10 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Alveolic [ug/m3]
17.09.2026 10:56:58	98,9	13,2	5,8	183,9	107,0	28,2
17.09.2026 10:57:04	132,1	13,7	5,9	2360,2	206,8	31,0
17.09.2026 10:57:10	136,3	12,7	5,5	2287,4	214,5	50,7
17.09.2026 10:57:16	231,9	10,9	5,5	4294,3	464,1	31,8
17.09.2026 10:57:22	205,4	12,2	5,5	1462,4	256,1	33,9
17.09.2026 10:57:28	388,6	13,8	6,0	4407,0	592,3	30,2
17.09.2026 10:57:34	279,4	19,2	6,4	1465,0	336,8	51,7
17.09.2026 10:57:40	392,4	13,4	6,1	2044,6	501,5	32,0
17.09.2026 10:57:46	224,9	12,5	5,3	415,9	248,2	35,6
17.09.2026 10:57:52	200,7	15,1	5,8	3271,6	356,3	45,9
17.09.2026 10:57:58	274,5	15,6	5,9	1595,9	330,5	51,0
17.09.2026 10:58:04	396,6	13,9	5,8	2248,6	505,7	65,3
17.09.2026 10:58:10	225,5	15,6	6,1	2500,1	313,8	40,4
17.09.2026 10:58:16	178,6	17,3	5,6	2605,7	296,9	46,3
17.09.2026 10:58:22	95,2	14,0	5,6	1183,0	137,0	36,6
17.09.2026 10:58:28	70,4	11,2	5,5	1145,0	109,1	30,8
17.09.2026 10:58:34	203,4	13,7	5,4	1427,6	295,4	50,4
17.09.2026 10:58:40	362,3	16,1	6,0	2396,1	503,8	59,8
17.09.2026 10:58:46	269,5	17,7	5,8	4007,8	426,4	52,5
17.09.2026 10:58:52	253,9	13,7	5,8	3752,6	407,7	38,9
17.09.2026 10:58:58	207,8	14,2	5,5	4539,4	476,6	35,9
17.09.2026 10:59:04	307,2	14,1	5,8	1661,4	368,2	46,2
17.09.2026 10:59:10	413,1	15,8	5,8	3398,6	551,0	63,4
17.09.2026 10:59:16	405,7	19,3	5,8	5557,0	685,3	64,7
17.09.2026 10:59:22	395,5	14,4	5,5	5736,7	667,9	63,7
17.09.2026 10:59:28	211,7	13,6	5,2	3160,2	371,2	33,1
17.09.2026 10:59:34	191,2	11,8	5,3	4810,6	412,0	36,4
17.09.2026 10:59:40	319,5	13,1	5,5	4616,9	516,2	44,4
17.09.2026 10:59:46	307,1	13,3	5,6	5510,3	619,0	44,7
17.09.2026 10:59:52	220,2	15,4	5,6	4632,1	401,7	28,5
17.09.2026 10:59:58	256,1	14,6	5,9	3707,5	370,7	46,9
17.09.2026 11:00:04	206,4	14,9	5,8	7773,3	606,0	35,7
17.09.2026 11:00:10	413,5	16,7	6,0	5704,8	694,2	62,0
17.09.2026 11:00:16	260,7	16,1	5,8	4893,4	490,6	59,0
17.09.2026 11:00:22	304,1	13,4	5,3	4975,5	541,9	46,0
17.09.2026 11:00:28	219,9	13,5	5,4	4313,4	370,6	49,2
17.09.2026 11:00:34	251,9	12,4	5,2	3205,2	374,3	43,3
17.09.2026 11:00:40	244,6	14,1	5,5	2061,0	337,3	63,1
17.09.2026 11:00:46	180,3	14,4	5,8	4598,9	361,7	40,7
17.09.2026 11:00:52	215,0	11,6	5,5	5530,9	470,1	30,1
17.09.2026 11:00:58	300,7	14,1	5,2	1694,5	356,3	49,8
17.09.2026 11:01:04	175,7	12,6	5,5	3326,4	330,7	43,8
17.09.2026 11:01:10	245,8	14,8	5,9	3694,2	403,2	34,3
17.09.2026 11:01:16	131,7	14,9	5,8	2359,7	206,3	31,3
17.09.2026 11:01:22	323,1	14,0	5,1	2608,4	424,6	69,1
17.09.2026 11:01:28	196,1	13,6	5,6	5101,7	458,6	36,5
17.09.2026 11:01:34	302,9	13,1	5,1	7981,9	670,5	35,5
17.09.2026 11:01:40	360,6	10,8	4,8	1838,3	422,5	41,3
