<Header>
User name: 
Location: laboratory
# of Location: 1
Model: 1.109
Serial No.: 9G050007
Firmware revision: 12.30E
Software revision: 7-1 Rev XII (27-02-2019)
Unit: dM [ug/m3]
C-factor: 1,00
Comment: participat test
online data
<Data>
[d&t31.12.2035 11:50:55]	0,30 um	0,40 um	0,50 um	0,65 um	0,80 um	1,00 um	1,60 um	2,00 um	3,00 um	4,00 um	5,00 um	7,50 um	10,00 um	15,00 um	20,00 um
17.09.2026 10:53:10	0,69	1,01	1,13	0,96	0,99	0,45	3,18	3,19	17,51	24,81	33,24	0,00	0,00	948,48	3616,10
17.09.2026 10:53:16	0,66	1,07	0,92	0,99	0,45	1,50	1,98	8,51	2,92	24,81	16,62	273,60	0,00	875,52	2765,26
17.09.2026 10:53:22	0,65	1,17	1,32	1,27	0,69	1,05	2,78	5,32	5,84	0,00	83,09	91,20	0,00	0,00	2127,12
17.09.2026 10:53:28	0,76	1,09	0,92	1,19	0,25	0,60	2,38	8,51	8,76	6,20	49,85	91,20	132,95	218,88	1488,98
17.09.2026 10:53:34	0,67	1,08	1,07	1,04	0,79	0,90	2,78	7,44	17,51	12,41	33,24	136,80	0,00	729,60	1063,56
17.09.2026 10:53:40	0,57	1,09	1,05	1,22	0,94	1,05	1,19	7,44	8,76	18,61	49,85	91,20	398,84	218,88	425,42
17.09.2026 10:53:46	0,70	1,02	1,15	1,12	0,50	1,35	3,18	8,51	8,76	12,41	33,24	136,80	265,89	1094,40	3190,68
17.09.2026 10:53:52	0,62	1,18	0,83	0,88	0,55	0,60	2,78	4,25	2,92	37,22	33,24	45,60	132,95	72,96	1914,41
17.09.2026 10:53:58	0,76	1,06	1,16	0,88	0,55	0,90	3,97	6,38	5,84	12,41	0,00	0,00	398,84	291,84	2339,83
17.09.2026 10:54:04	0,72	1,10	1,05	1,04	1,19	1,64	3,18	6,38	5,84	31,01	16,62	91,20	797,67	72,96	1914,41
17.09.2026 10:54:10	0,71	0,96	1,13	1,25	0,55	0,90	2,78	7,44	5,84	37,22	33,24	45,60	132,95	1240,32	3828,82
17.09.2026 10:54:16	0,64	1,10	0,91	0,91	0,99	0,75	2,78	12,76	8,76	43,42	99,71	91,20	0,00	145,92	2765,26
17.09.2026 10:54:22	0,70	1,00	0,98	1,06	0,84	0,75	1,59	6,38	5,84	0,00	33,24	0,00	398,84	0,00	1063,56
