Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N)
81.5,11.993309020996094,3.7551422119140625
82,7.3304367065429688,5.0454177856445312
82.5,7.7111282348632812,5.8604583740234375
83,7.5961532592773438,5.0479736328125
83.5,6.3109893798828125,2.6794891357421875
84,5.7488861083984375,2.2476882934570312
84.5,7.0647125244140625,2.0432891845703125
85,6.6073684692382812,2.3013458251953125
85.5,4.8188705444335938,2.89410400390625
86,6.0554885864257812,3.3131256103515625
86.5,7.5143966674804688,3.1572723388671875
87,8.4086456298828125,3.13427734375
87.5,9.7193603515625,4.1486129760742188
88,9.0678329467773438,3.785797119140625
88.5,7.3866424560546875,3.254364013671875
89,8.63348388671875,4.818023681640625
89.5,10.266128540039062,6.4787673950195312
90,10.17926025390625,6.4608840942382812
90.5,9.5124053955078125,4.8589019775390625
91,8.3422164916992188,2.9886398315429688
91.5,9.4587478637695312,4.128173828125
92,10.646827697753906,4.864013671875
92.5,9.4996261596679688,3.7525863647460938
93,8.1965789794921875,3.3616714477539062
93.5,7.6446990966796875,2.682037353515625
94,8.5159530639648438,2.168487548828125
94.5,10.250801086425781,3.2671356201171875
95,10.023406982421875,3.6554946899414062
95.5,8.22979736328125,2.6207199096679688
96,6.7427825927734375,2.1173858642578125
96.5,5.2915420532226562,1.75457763671875
97,4.0855865478515625,1.9870834350585938
97.5,5.0334930419921875,4.1153945922851562
98,9.029510498046875,4.2508087158203125
98.5,9.84710693359375,1.9972991943359375
99,8.0586090087890625,3.15216064453125
99.5,11.28302001953125,6.951446533203125
100,15.659732818603516,11.591323852539062
100.5,16.589752197265625,7.6106338500976562
101,12.818572998046875,2.2987899780273438
101.5,8.26556396484375,5.28558349609375
102,7.6625823974609375,8.0705337524414062
102.5,8.8889846801757812,9.130859375
103,9.9927444458007812,8.0066604614257812
103.5,10.475639343261719,6.3152542114257812
104,10.736251831054688,5.9268875122070312
104.5,9.0550613403320312,7.0996322631835938
105,7.7801132202148438,8.624969482421875
105.5,18.411468505859375,10.313827514648438
106,36.084403991699219,16.553138732910156
106.5,42.982902526855469,18.959945678710938
107,39.459556579589844,15.33184814453125
107.5,27.131683349609375,8.7987136840820312
108,14.423110961914062,4.319793701171875
108.5,10.094947814941406,7.3244781494140625
109,8.32177734375,7.2887039184570312
109.5,7.3534317016601562,4.0770721435546875
110,6.97784423828125,3.7909088134765625
110.5,14.755264282226562,13.231636047363281
111,21.244964599609375,15.334403991699219
111.5,19.249507904052734,10.226959228515625
112,16.114524841308594,11.598991394042969
112.5,11.990753173828125,10.868263244628906
113,9.2977828979492188,9.1564102172851562
113.5,7.8490982055664062,7.0025482177734375
