01280006200
010840217
0228411Lungenfunktion
016843227042023
01284331356
0626220     Bundesanstalt fÅr Arbeitschutz und Arbeitsmedizin
0496220                   Nîldnerstrasse 40 - 42
0516220                10317  Berlin - Lichtenberg
0503301QHA06                                QHA06
053330301.01.1978                           45 Jahre
04536210                                    
0493622183.0                                72.0
0475073--                                   --
0496220                  Diffusion Single-Breath
0896220                             Soll   Best  %(B/S)   Ist1   Ist2   Ist3  Ist4  Ist5
0896220Datum                             27.04.                                         
0896220Zeit                              13:56:                                         
0896220Name                               QHA06                                         
0896220Luftdruck                         1020 h                                         
0896220Temperatur                         24 ¯C                                         
0896220rel. Feuchte                        19 %                                         
0896220Hîhe Normalnull                     35 m                                         
0896220VT                     [L]   0.51                                                
0896220BF                 [1/min]  20.00                                                
0896220ERV                    [L]   1.11                                                
0896220VC IN                  [L]   4.17   5.79   138.9                                 
0896220VC EX                  [L]   4.17   5.84   140.2                                 
0896220FEV 1                  [L]   3.50   4.82   137.4   4.82                          
0896220FVC                    [L]   4.05   5.84   144.4   5.84                          
0896220PEF                  [L/s]   7.61   9.32   122.6   9.32                          
0896220MEF 25               [L/s]   1.91   2.12   111.1   2.12                          
0896220MEF 50               [L/s]   4.52   6.27   138.7   6.27                          
0896220MEF 75               [L/s]   6.37   8.53   134.0   8.53                          
0896220RV-SB                  [L]   2.03   2.02    99.3   2.02                          
0896220TLC-SB                 [L]   6.29   7.34   116.8   7.34                          
0896220VA                     [L]   6.14   7.18   117.0   7.18                          
0896220FRC-SB                 [L]   3.14   4.14   131.5   4.14                          
0896220Hb               [g/100ml]         13.40          13.40                          
0896220FI He                  [%]          9.24           9.24                          
0896220FA He                  [%]          6.42           6.42                          
0896220FI CO                  [%]         0.266          0.266                          
0896220FA CO                  [%]         0.084          0.084                          
0896220DLCO SB     [mmol/min/kPa]  10.02  10.93   109.0  10.93                          
