Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
0,14.488693237304688,0,5.7744369506835938,0
0.10000000000000001,14.445259094238281,,5.8332061767578125,
0.20000000000000001,14.279182434082031,,5.7693328857421875,
0.29999999999999999,14.125885009765625,,5.6288070678710938,
0.40000000000000002,14.128440856933594,,5.65435791015625,
0.5,14.424819946289062,,5.9175186157226562,
0.59999999999999998,15.122337341308594,,6.4642868041992188,
0.69999999999999996,16.034469604492188,,7.1234817504882812,
0.80000000000000004,16.959381103515625,,7.8209915161132812,
0.90000000000000002,17.917503356933594,,8.569610595703125,
1,18.870521545410156,,9.2798995971679688,
1.1000000000000001,19.603805541992188,,10.015739440917969,
1.2,20.288543701171875,,10.907432556152344,
1.3,21.075485229492188,,11.898773193359375,
1.3999999999999999,21.918636322021484,,13.074073791503906,
1.5,22.861431121826172,,14.486991882324219,
1.6000000000000001,23.791450500488281,,16.068534851074219,
1.7,24.609050750732422,,17.803379058837891,
1.8,25.334671020507812,,19.423248291015625,
1.8999999999999999,25.973419189453125,,20.762069702148438,
2,26.691375732421875,,22.011463165283203,
2.1000000000000001,27.348011016845703,,22.956813812255859,
2.2000000000000002,27.064403533935547,,22.749858856201172,
2.2999999999999998,25.355110168457031,,21.096775054931641,
2.3999999999999999,22.989181518554688,,18.753837585449219,
2.5,20.850643157958984,,16.421123504638672,
2.6000000000000001,19.217998504638672,,14.313247680664062,
2.7000000000000002,17.879180908203125,,12.488975524902344,
2.7999999999999998,16.8214111328125,,11.055625915527344,
2.8999999999999999,16.154556274414062,,10.008071899414062,
3,15.623115539550781,,9.14959716796875,
3.1000000000000001,15.252639770507812,,8.3345489501953125,
3.2000000000000002,14.969032287597656,,7.5169525146484375,
3.2999999999999998,14.590896606445312,,6.8322067260742188,
3.3999999999999999,14.205093383789062,,6.270111083984375,
3.5,13.89593505859375,,5.8485336303710938,
3.6000000000000001,13.461585998535156,,5.7437820434570312,
3.7000000000000002,12.891822814941406,,5.902191162109375,
3.7999999999999998,12.186637878417969,,6.1168060302734375,
3.8999999999999999,11.328163146972656,,6.3109893798828125,
4,10.454353332519531,,6.4770660400390625,
4.0999999999999996,9.654632568359375,,6.6865768432617188,
4.2000000000000002,9.010772705078125,,6.8935317993164062,
4.2999999999999998,8.5457687377929688,,6.9804000854492188,
4.4000000000000004,8.2774887084960938,,6.9855117797851562,
4.5,8.1599578857421875,,6.9011917114257812,
4.5999999999999996,8.04498291015625,,6.7070159912109375,
4.7000000000000002,7.9019088745117188,,6.46173095703125,
4.7999999999999998,7.7639389038085938,,6.2394485473632812,
4.9000000000000004,7.6259689331054688,,5.9635086059570312,
5,7.4368972778320312,,5.5572662353515625,
5.0999999999999996,7.245269775390625,,5.0999221801757812,
5.2000000000000002,7.1737289428710938,,4.6936721801757812,
5.2999999999999998,7.1430740356445312,,4.40240478515625,
5.4000000000000004,7.0383148193359375,,4.2414398193359375,
5.5,6.9105682373046875,,4.10858154296875,
5.5999999999999996,6.7981491088867188,,3.970611572265625,
5.7000000000000002,6.6525115966796875,,4.0012664794921875,
5.7999999999999998,6.5452041625976562,,4.0906982421875,
5.9000000000000004,6.4557723999023438,,4.0574798583984375,
6,6.2820358276367188,,3.9476165771484375,
6.0999999999999996,5.9907684326171875,,3.8632965087890625,
6.2000000000000002,5.663726806640625,,3.8760757446289062,
6.2999999999999998,5.5129776000976562,,3.8581924438476562,
6.4000000000000004,5.54364013671875,,3.6921157836914062,
6.5,5.6254043579101562,,3.5311508178710938,
6.5999999999999996,5.6560592651367188,,3.5234832763671875,
6.7000000000000002,5.5334243774414062,,3.6103515625,
6.7999999999999998,5.3009185791015625,,3.6614532470703125,
6.9000000000000004,5.1373977661132812,,3.59246826171875,
7,5.1067352294921875,,3.418731689453125,
7.0999999999999996,5.111846923828125,,3.22454833984375,
7.2000000000000002,5.1169586181640625,,3.04058837890625,
7.2999999999999998,5.1195144653320312,,2.9102859497070312,
7.4000000000000004,5.0684127807617188,,2.87451171875,
7.5,4.973876953125,,2.9077301025390625,
7.5999999999999996,4.8410186767578125,,2.96649169921875,
7.7000000000000002,4.613616943359375,,3.0457000732421875,
7.7999999999999998,4.3044662475585938,,3.1300125122070312,
7.9000000000000004,4.100067138671875,,3.0993576049804688,
8,4.0464096069335938,,3.0022659301757812,
8.0999999999999996,4.0464096069335938,,2.9460525512695312,
8.1999999999999993,4.03619384765625,,2.9383926391601562,
8.3000000000000007,4.0029754638671875,,2.9639358520507812,
8.4000000000000004,3.9442138671875,,3.012481689453125,
8.5,3.88800048828125,,3.1402359008789062,
8.5999999999999996,3.7960205078125,,3.3063125610351562,
8.6999999999999993,3.714263916015625,,3.3957366943359375,
8.8000000000000007,3.6861572265625,,3.4161758422851562,
8.9000000000000004,3.6197280883789062,,3.4493865966796875,
9,3.548187255859375,,3.4953765869140625,
9.0999999999999996,3.438323974609375,,3.510711669921875,
9.1999999999999993,3.3386764526367188,,3.5081558227539062,
9.3000000000000007,3.382110595703125,,3.3471908569335938,
9.4000000000000004,3.5047531127929688,,3.1172409057617188,
9.5,3.6043930053710938,,3.0099258422851562,
9.5999999999999996,3.62994384765625,,2.9639358520507812,
9.6999999999999993,3.6069488525390625,,2.9741592407226562,
9.8000000000000007,3.5992889404296875,,3.0610275268554688,
9.9000000000000004,3.59417724609375,,3.178558349609375,
10,3.6606063842773438,2.7124772071838379,3.2782058715820312,0
10.1,3.85223388671875,,3.3855133056640625,
10.199999999999999,4.0183029174804688,,3.492828369140625,
10.300000000000001,4.0872879028320312,,3.4979324340820312,
10.4,4.1971588134765625,,3.5209274291992188,
10.5,4.4066619873046875,,3.5771408081054688,
10.6,4.5446319580078125,,3.50048828125,
10.699999999999999,4.5650787353515625,,3.4136199951171875,
10.800000000000001,4.5701828002929688,,3.390625,
10.9,4.6570587158203125,,3.538818359375,
11,4.7899169921875,,3.6333465576171875,
11.1,4.8486785888671875,,3.712554931640625,
11.199999999999999,4.7311477661132812,,3.896514892578125,
11.300000000000001,4.6289520263671875,,3.9016265869140625,
11.4,4.7132644653320312,,3.9757232666015625,
11.5,4.7643661499023438,,4.116241455078125,
11.6,4.7694778442382812,,4.1136932373046875,
11.699999999999999,4.797576904296875,,4.2337722778320312,
11.800000000000001,4.8307952880859375,,4.4330673217773438,
11.9,4.8410186767578125,,4.5097122192382812,
12,4.818023681640625,,4.5608139038085938,
12.1,4.743927001953125,,4.6476821899414062,
12.199999999999999,4.6928253173828125,,4.8009872436523438,
12.300000000000001,4.7285919189453125,,4.8546371459960938,
12.4,4.7592544555664062,,4.8418655395507812,
12.5,4.73370361328125,,4.8750762939453125,
12.6,4.6902694702148438,,4.9593963623046875,
12.699999999999999,4.6417236328125,,5.08203125,
12.800000000000001,4.5804061889648438,,5.1561279296875,
12.9,4.319793701171875,,5.1944580078125,
13,4.0872879028320312,,5.08203125,
13.1,4.245697021484375,,4.8035430908203125,
13.199999999999999,4.577850341796875,,4.6783447265625,
13.300000000000001,4.65960693359375,,4.8418655395507812,
13.4,4.4654312133789062,,5.0385971069335938,
13.5,4.3836669921875,,5.10247802734375,
13.6,4.4424362182617188,,5.0437088012695312,
13.699999999999999,4.5190887451171875,,4.9006271362304688,
13.800000000000001,4.6085128784179688,,4.7652130126953125,
13.9,4.6391677856445312,,4.8980712890625,
14,4.5727386474609375,,5.3094329833984375,
14.1,4.5650787353515625,,5.4933929443359375,
14.199999999999999,4.7132644653320312,,5.403961181640625,
14.300000000000001,5.06585693359375,,5.368194580078125,
14.4,5.755706787109375,,5.81787109375,
14.5,6.5017623901367188,,6.82965087890625,
14.6,7.1226272583007812,,8.1327056884765625,
14.699999999999999,8.3183670043945312,,9.5098495483398438,
14.800000000000001,10.134979248046875,,11.175712585449219,
14.9,11.882598876953125,,13.495651245117188,
15,13.548454284667969,,16.32403564453125,
15.1,15.055908203125,,19.676193237304688,
15.199999999999999,16.3052978515625,,23.150993347167969,
15.300000000000001,17.286418914794922,,26.188888549804688,
15.4,18.31097412109375,,29.124584197998047,
15.5,19.739219665527344,,32.019397735595703,
15.6,21.504726409912109,,34.676597595214844,
15.699999999999999,23.433750152587891,,37.165168762207031,
15.800000000000001,25.035736083984375,,38.818252563476562,
15.9,25.493080139160156,,38.314918518066406,
16,24.008625030517578,,35.501861572265625,
16.100000000000001,21.259445190429688,,31.467517852783203,
16.199999999999999,18.681449890136719,,26.911952972412109,
16.300000000000001,16.83929443359375,,22.662990570068359,
16.399999999999999,15.824958801269531,,19.397697448730469,
16.5,15.372726440429688,,16.939788818359375,
16.600000000000001,15.050796508789062,,14.737380981445312,
16.699999999999999,14.590896606445312,,12.782806396484375,
16.800000000000001,14.169319152832031,,11.285575866699219,
16.899999999999999,13.855056762695312,,10.020851135253906,
17,13.499908447265625,,8.9860763549804688,
17.100000000000001,13.093666076660156,,8.1786956787109375,
17.199999999999999,12.7001953125,,7.3508758544921875,
17.300000000000001,12.329719543457031,,6.592041015625,
17.399999999999999,11.813613891601562,,6.09381103515625,
17.5,11.294944763183594,,5.8076553344726562,
17.600000000000001,10.927024841308594,,5.7335586547851562,
17.699999999999999,10.6025390625,,5.7207870483398438,
17.800000000000001,10.303604125976562,,5.6952362060546875,
17.899999999999999,10.0506591796875,,5.6722412109375,
18,9.8718109130859375,,5.6390228271484375,
18.100000000000001,9.8922500610351562,,5.6390228271484375,
18.199999999999999,10.306159973144531,,5.8076553344726562,
18.300000000000001,11.197853088378906,,6.0452728271484375,
