Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Atmungsrate(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
0,7.8916854858398438,22.556390762329102,6.4693984985351562,21.85792350769043
0.10000000000000001,7.8278121948242188,,6.4336318969726562,
0.20000000000000001,7.7997055053710938,,6.4566268920898438,
0.29999999999999999,8.0654220581054688,,6.821990966796875,
0.40000000000000002,8.8217086791992188,,7.447967529296875,
0.5,9.9561233520507812,,8.15570068359375,
0.59999999999999998,11.041999816894531,,9.0065155029296875,
0.69999999999999996,11.8902587890625,,9.931427001953125,
0.80000000000000004,12.605659484863281,,10.843559265136719,
0.90000000000000002,13.188201904296875,,11.620277404785156,
1,13.576560974121094,,12.225814819335938,
1.1000000000000001,13.82183837890625,,12.683158874511719,
1.2,13.663429260253906,,12.678047180175781,
1.3,13.101333618164062,,12.12872314453125,
1.3999999999999999,12.57244873046875,,11.262580871582031,
1.5,11.519783020019531,,10.258460998535156,
1.6000000000000001,10.51055908203125,,9.3539962768554688,
1.7,9.7312850952148438,,8.5900497436523438,
1.8,9.22283935546875,,7.8593215942382812,
1.8999999999999999,8.6939544677734375,,7.299774169921875,
2,8.3337020874023438,,6.9625167846679688,
2.1000000000000001,8.0577621459960938,,6.7325668334960938,
2.2000000000000002,7.889129638671875,,6.5894851684570312,
2.2999999999999998,7.8278121948242188,,6.5128326416015625,
2.3999999999999999,7.9249038696289062,,6.620147705078125,
2.5,8.1855087280273438,,6.7964401245117188,
2.6000000000000001,8.4486770629882812,,6.8935317993164062,
2.7000000000000002,8.6913986206054688,,7.1643600463867188,
2.7999999999999998,9.1794052124023438,,7.7392349243164062,
2.8999999999999999,10.564216613769531,,8.6590347290039062,
3,11.900482177734375,,10.074501037597656,
3.1000000000000001,13.165206909179688,,11.970314025878906,
3.2000000000000002,14.248527526855469,,14.0986328125,
3.2999999999999998,15.168327331542969,,16.196285247802734,
3.3999999999999999,16.001258850097656,,18.007778167724609,
3.5,16.657890319824219,,19.323604583740234,
3.6000000000000001,17.145896911621094,,20.243404388427734,
3.7000000000000002,17.179107666015625,,20.222965240478516,
3.7999999999999998,16.328292846679688,,18.725734710693359,
3.8999999999999999,14.99969482421875,,16.467113494873047,
4,13.67620849609375,,14.090965270996094,
4.0999999999999996,12.429367065429688,,12.144050598144531,
4.2000000000000002,11.33837890625,,10.848670959472656,
4.2999999999999998,10.495231628417969,,9.7679061889648438,
4.4000000000000004,9.7696075439453125,,8.89154052734375,
4.5,9.2049560546875,,8.201690673828125,
4.5999999999999996,8.8804702758789062,,7.7622299194335938,
4.7000000000000002,8.7118377685546875,,7.631927490234375,
4.7999999999999998,8.7016220092773438,,7.5501632690429688,
4.9000000000000004,8.6147537231445312,,7.45562744140625,
5,8.3899078369140625,,7.2154617309570312,
5.0999999999999996,8.2621612548828125,,6.9011917114257812,
5.2000000000000002,8.1318588256835938,,7.1107025146484375,
5.2999999999999998,8.0782012939453125,,8.3013381958007812,
5.4000000000000004,8.48699951171875,,10.092391967773438,
5.5,9.0925369262695312,,12.361228942871094,
5.5999999999999996,9.5856475830078125,,14.839576721191406,
5.7000000000000002,9.9944534301757812,,16.707283020019531,
5.7999999999999998,10.316383361816406,,17.949012756347656,
5.9000000000000004,10.656196594238281,,18.360370635986328,
6,10.707298278808594,,17.369029998779297,
6.0999999999999996,10.293388366699219,,15.409347534179688,
6.2000000000000002,9.7082901000976562,,13.30657958984375,
6.2999999999999998,9.1717376708984375,,11.438873291015625,
6.4000000000000004,8.7603836059570312,,9.9441986083984375,
6.5,8.3285903930664062,,8.937530517578125,
6.5999999999999996,7.9325637817382812,,8.367767333984375,
6.7000000000000002,7.6745071411132812,,7.9640731811523438,
6.7999999999999998,7.411346435546875,,7.5373916625976562,
6.9000000000000004,7.2554931640625,,7.2767791748046875,
7,7.5160980224609375,,7.6523666381835938,
7.0999999999999996,7.8559188842773438,,8.3779830932617188,
7.2000000000000002,7.9402313232421875,,8.6743621826171875,
7.2999999999999998,7.9223480224609375,,8.6002731323242188,
7.4000000000000004,8.0858688354492188,,8.8353271484375,
7.5,8.734832763671875,,9.6401519775390625,
7.5999999999999996,9.876922607421875,,11.293235778808594,
7.7000000000000002,11.162086486816406,,13.763923645019531,
7.7999999999999998,12.375709533691406,,16.150295257568359,
7.9000000000000004,12.853492736816406,,18.299049377441406,
8,12.840721130371094,,19.609764099121094,
