Datensatz 1:Zeit(s),Datensatz 1:Kraft(N),Datensatz 1:Force 2(N),Datensatz 1:Atmungsrate(bpm),Datensatz 1:Respiration Rate 2(bpm)
0,7.5697555541992188,5.4269561767578125,24.708305358886719,24.69135856628418
0.10000000000000001,7.0280990600585938,5.0232696533203125,,
0.20000000000000001,6.4097824096679688,4.5659255981445312,,
0.29999999999999999,6.307586669921875,4.4969406127929688,,
0.40000000000000002,6.2283782958984375,4.47650146484375,,
0.5,6.1721725463867188,4.4739456176757812,,
0.59999999999999998,6.1772842407226562,4.4892730712890625,,
0.69999999999999996,6.3024749755859375,4.5914764404296875,,
0.80000000000000004,6.6269607543945312,4.9159622192382812,,
0.90000000000000002,7.0817489624023438,5.3886337280273438,,
1,7.6515121459960938,6.1091461181640625,,
1.1000000000000001,8.4461212158203125,7.2742233276367188,,
1.2,9.2918243408203125,8.5338363647460938,,
1.3,10.086433410644531,9.5124053955078125,,
1.3999999999999999,10.794166564941406,10.263572692871094,,
1.5,11.312828063964844,10.95086669921875,,
1.6000000000000001,11.530006408691406,11.214035034179688,,
1.7,11.282173156738281,10.416877746582031,,
1.8,10.735397338867188,8.8506622314453125,,
1.8999999999999999,10.206512451171875,7.4581832885742188,,
2,9.7542800903320312,6.5205001831054688,,
2.1000000000000001,9.2458343505859375,5.828094482421875,,
2.2000000000000002,8.7246170043945312,5.3043212890625,,
2.2999999999999998,8.2417221069335938,4.95428466796875,,
2.3999999999999999,7.8508071899414062,4.7192230224609375,,
2.5,7.5850830078125,4.5148239135742188,,
2.6000000000000001,7.3295822143554688,4.2899856567382812,,
2.7000000000000002,7.071533203125,4.0753631591796875,,
2.7999999999999998,6.92333984375,3.9297332763671875,,
2.8999999999999999,6.877349853515625,3.8709640502929688,,
3,6.951446533203125,3.9118423461914062,,
3.1000000000000001,7.2554931640625,4.1469039916992188,,
3.2000000000000002,7.9325637817382812,4.6093597412109375,,
3.2999999999999998,8.8165969848632812,5.202117919921875,,
3.3999999999999999,9.5882034301757812,5.8766403198242188,,
3.5,10.347038269042969,6.6508026123046875,,
3.6000000000000001,11.13653564453125,7.5092849731445312,,
3.7000000000000002,11.826385498046875,8.3728713989257812,,
3.7999999999999998,12.293952941894531,9.1649246215820312,,
3.8999999999999999,12.235183715820312,9.4970779418945312,,
4,11.747177124023438,9.1444854736328125,,
4.0999999999999996,11.151863098144531,8.3779830932617188,,
4.2000000000000002,10.36492919921875,7.38153076171875,,
4.2999999999999998,9.509002685546875,6.379974365234375,,
4.4000000000000004,8.8293685913085938,5.69012451171875,,
4.5,8.313262939453125,5.3145370483398438,,
4.5999999999999996,7.9274520874023438,5.1408004760742188,,
4.7000000000000002,7.7460479736328125,5.13824462890625,,
4.7999999999999998,7.6821746826171875,5.1637954711914062,,
4.9000000000000004,7.5339889526367188,4.9772796630859375,,
5,7.3653564453125,4.6834564208984375,,
5.0999999999999996,7.181396484375,4.5276031494140625,,
5.2000000000000002,6.97955322265625,4.4713897705078125,,
5.2999999999999998,6.8926773071289062,4.5276031494140625,,
5.4000000000000004,6.8824615478515625,4.75244140625,,
5.5,7.0843048095703125,5.1305770874023438,,
5.5999999999999996,7.6668472290039062,5.679901123046875,,
5.7000000000000002,8.3592529296875,6.3390960693359375,,
5.7999999999999998,8.8344802856445312,6.9701766967773438,,
5.9000000000000004,9.2713851928710938,7.6421432495117188,,
6,9.7900543212890625,8.385650634765625,,
6.0999999999999996,10.247398376464844,9.1547012329101562,,
6.2000000000000002,10.533554077148438,9.673370361328125,,
6.2999999999999998,10.444129943847656,9.38720703125,,
6.4000000000000004,9.9331283569335938,8.3498764038085938,,
6.5,9.2049560546875,7.2844467163085938,,
6.5999999999999996,8.5125503540039062,6.4464035034179688,,
6.7000000000000002,7.9606704711914062,5.7616653442382812,,
6.7999999999999998,7.53143310546875,5.2506637573242188,,
6.9000000000000004,7.1967239379882812,4.9031829833984375,,
7,7.0178756713867188,4.7498855590820312,,
7.0999999999999996,6.9463348388671875,4.6732330322265625,,
7.2000000000000002,6.8620223999023438,4.5710372924804688,,
7.2999999999999998,6.7725982666015625,4.4739456176757812,,
7.4000000000000004,6.6729507446289062,4.384521484375,,
7.5,6.5860824584960938,4.3027572631835938,,
7.5999999999999996,6.5528640747070312,4.264434814453125,,
7.7000000000000002,6.5503082275390625,4.2721023559570312,,
7.7999999999999998,6.6218490600585938,4.3972930908203125,,
7.9000000000000004,6.83135986328125,4.9031829833984375,,
8,7.1941680908203125,5.7335586547851562,,
8.0999999999999996,7.6438522338867188,6.6175918579101562,,
8.1999999999999993,8.0986404418945312,7.4326324462890625,,
8.3000000000000007,8.6096420288085938,8.1684722900390625,,
8.4000000000000004,9.2637176513671875,8.8046722412109375,,
8.5,10.017448425292969,9.231353759765625,,
8.5999999999999996,10.776283264160156,9.5686111450195312,,
8.6999999999999993,11.187637329101562,9.7781219482421875,,
8.8000000000000007,10.898918151855469,9.4459762573242188,,
8.9000000000000004,10.288276672363281,8.6232681274414062,,
9,9.7134017944335938,7.7520065307617188,,
9.0999999999999996,9.1691818237304688,6.9650726318359375,,
9.1999999999999993,8.6581878662109375,6.3007659912109375,,
9.3000000000000007,8.1957321166992188,5.810211181640625,,
9.4000000000000004,7.8456954956054688,5.4806137084960938,,
9.5,7.5825271606445312,5.230224609375,,
9.5999999999999996,7.3321380615234375,5.000274658203125,,
9.6999999999999993,7.1456222534179688,4.8597488403320312,,
9.8000000000000007,7.0280990600585938,4.7830963134765625,,
9.9000000000000004,6.9361190795898438,4.7294464111328125,,
10,6.8671340942382812,4.7090072631835938,25.157232284545898,25.19244384765625
10.1,6.79559326171875,4.7038955688476562,,
10.199999999999999,6.7751541137695312,4.724334716796875,,
10.300000000000001,6.8211441040039062,4.7217788696289062,,
10.4,6.9080123901367188,4.7038955688476562,,
10.5,7.1967239379882812,4.8393096923828125,,
10.6,7.7537155151367188,5.1331329345703125,,
10.699999999999999,8.3720245361328125,5.5087203979492188,,
10.800000000000001,8.9520111083984375,5.98394775390625,,
10.9,9.5192184448242188,6.4975051879882812,,
11,10.086433410644531,7.01361083984375,,
11.1,10.640869140625,7.483734130859375,,
11.199999999999999,11.087989807128906,7.8567657470703125,,
11.300000000000001,11.351158142089844,8.173583984375,,
11.4,11.259178161621094,8.201690673828125,,
11.5,10.76861572265625,7.7341232299804688,,
11.6,10.094093322753906,7.0289459228515625,,
11.699999999999999,9.3173751831054688,6.35186767578125,,
11.800000000000001,8.6096420288085938,5.8229827880859375,,
11.9,8.090972900390625,5.403961181640625,,
12,7.6515121459960938,5.036041259765625,,
12.1,7.2861480712890625,4.8035430908203125,,
12.199999999999999,7.0408706665039062,4.6860122680664062,,
12.300000000000001,6.8722381591796875,4.6093597412109375,,
12.4,6.7598190307617188,4.58636474609375,,
12.5,6.6627273559570312,4.5735931396484375,,
12.6,6.6065216064453125,4.5812530517578125,,
12.699999999999999,6.6218490600585938,4.5991363525390625,,
12.800000000000001,6.5988540649414062,4.540374755859375,,
12.9,6.5758590698242188,4.4560623168945312,,
13,6.7163848876953125,4.4994964599609375,,
13.1,7.0996322631835938,4.7115631103515625,,
13.199999999999999,7.6642913818359375,5.0513763427734375,,
13.300000000000001,8.22894287109375,5.4576187133789062,,
13.4,8.7603836059570312,5.9124069213867188,,
13.5,9.3046035766601562,6.344207763671875,,
13.6,9.7696075439453125,6.6763534545898438,,
13.699999999999999,10.183517456054688,7.0085067749023438,,
13.800000000000001,10.589767456054688,7.3432083129882812,,
13.9,10.743064880371094,7.5169525146484375,,
14,10.515670776367188,7.3329925537109375,,
14.1,10.048103332519531,6.8347625732421875,,
14.199999999999999,9.5064468383789062,6.2803268432617188,,
14.300000000000001,8.975006103515625,5.7667770385742188,,
14.4,8.4205703735351562,5.2966537475585938,,
14.5,7.9249038696289062,4.9619522094726562,,
14.6,7.5697555541992188,4.7779922485351562,,
14.699999999999999,7.2938156127929688,4.66046142578125,,
14.800000000000001,7.1021881103515625,4.604248046875,,
14.9,6.9744415283203125,4.5889205932617188,,
15,6.8799057006835938,4.596588134765625,,
15.1,6.8211441040039062,4.6016921997070312,,
15.199999999999999,6.7163848876953125,4.5352630615234375,,
15.300000000000001,6.6039657592773438,4.4535064697265625,,
15.4,6.5452041625976562,4.4177322387695312,,
15.5,6.5528640747070312,4.4075164794921875,,
15.6,6.7368240356445312,4.504608154296875,,
15.699999999999999,7.1558456420898438,4.7447738647460938,,
15.800000000000001,7.7409439086914062,5.1050262451171875,,
15.9,8.3541412353515625,5.5138320922851562,,
16,8.8472518920898438,5.8919677734375,,
16.100000000000001,9.2637176513671875,6.2573318481445312,,
16.199999999999999,9.7082901000976562,6.6405868530273438,,
16.300000000000001,10.163078308105469,7.0340576171875,,
16.399999999999999,10.597427368164062,7.4045257568359375,,
16.5,10.865707397460938,7.6932449340820312,,
16.600000000000001,10.796722412109375,7.69580078125,,
16.699999999999999,10.421134948730469,7.2512283325195312,,
16.800000000000001,9.8283767700195312,6.5537109375,,
16.899999999999999,9.1257476806640625,5.9302978515625,,
17,8.4767837524414062,5.4857254028320312,,
17.100000000000001,7.9300079345703125,5.148468017578125,,
17.199999999999999,7.5186538696289062,4.908294677734375,,
17.300000000000001,7.2197189331054688,4.742218017578125,,
17.399999999999999,7.0178756713867188,4.6553497314453125,,
17.5,6.9003448486328125,4.604248046875,,
17.600000000000001,6.7547073364257812,4.5071563720703125,,
17.699999999999999,6.61163330078125,4.4202880859375,,
17.800000000000001,6.5298690795898438,4.3794097900390625,,
17.899999999999999,6.4941024780273438,4.3717422485351562,,
18,6.5528640747070312,4.4100723266601562,,
18.100000000000001,6.7725982666015625,4.5659255981445312,,
18.199999999999999,7.2197189331054688,4.9134063720703125,,
18.300000000000001,7.8227005004882812,5.340087890625,,
18.399999999999999,8.3618087768554688,5.7335586547851562,,
18.5,8.8447036743164062,6.1704635620117188,,
18.600000000000001,9.3556976318359375,6.6533584594726562,,
18.699999999999999,9.894805908203125,7.1004867553710938,,
18.800000000000001,10.395584106445312,7.5348358154296875,,
18.899999999999999,10.760948181152344,7.9487457275390625,,
19,10.906585693359375,8.1940231323242188,,
19.100000000000001,10.720069885253906,8.0305023193359375,,
19.199999999999999,10.21673583984375,7.4530715942382812,,
19.300000000000001,9.5524368286132812,6.7734451293945312,,
19.399999999999999,8.8676986694335938,6.1934585571289062,,
19.5,8.1957321166992188,5.7233428955078125,,
19.600000000000001,7.5927505493164062,5.35797119140625,,
19.699999999999999,7.1200790405273438,5.0794830322265625,,
19.800000000000001,6.7981491088867188,4.8852996826171875,,
19.899999999999999,6.6244049072265625,4.7371063232421875,,
20,6.4838790893554688,4.5838088989257812,24.264705657958984,22.010271072387695
20.100000000000001,6.3484649658203125,4.4994964599609375,,
20.199999999999999,6.2590408325195312,4.4739456176757812,,
20.300000000000001,6.1900558471679688,4.4611663818359375,,
20.399999999999999,6.1517333984375,4.4790573120117188,,
20.5,6.123626708984375,4.5020523071289062,,
20.600000000000001,6.1823883056640625,4.5557022094726562,,
20.699999999999999,6.435333251953125,4.7038955688476562,,
20.800000000000001,6.8160324096679688,4.9364013671875,,
20.899999999999999,7.2554931640625,5.2659912109375,,
21,7.7486038208007812,5.679901123046875,,
21.100000000000001,8.2774887084960938,6.1244735717773438,,
21.199999999999999,8.78082275390625,6.5690460205078125,,
21.300000000000001,9.2279510498046875,7.0033950805664062,,
21.399999999999999,9.6699676513671875,7.4300765991210938,,
21.5,10.073654174804688,7.7443466186523438,,
21.600000000000001,10.145195007324219,7.7801132202148438,,
21.699999999999999,9.8258209228515625,7.4530715942382812,,
21.800000000000001,9.3122634887695312,6.8807525634765625,,
21.899999999999999,8.6913986206054688,6.2982177734375,,
22,7.9964370727539062,5.8408660888671875,,
22.100000000000001,7.3602447509765625,5.4806137084960938,,
22.199999999999999,6.9361190795898438,5.1944580078125,,
22.300000000000001,6.6780624389648438,4.95428466796875,,
22.399999999999999,6.4659957885742188,4.7192230224609375,,
22.5,6.2999191284179688,4.558258056640625,,
22.600000000000001,6.1951675415039062,4.5020523071289062,,
22.699999999999999,6.1108474731445312,4.4713897705078125,,
22.800000000000001,6.067413330078125,4.4611663818359375,,
22.899999999999999,6.0342025756835938,4.4790573120117188,,
23,6.0060958862304688,4.504608154296875,,
23.100000000000001,6.0342025756835938,4.5352630615234375,,
23.199999999999999,6.123626708984375,4.55059814453125,,
23.300000000000001,6.3024749755859375,4.6911163330078125,,
23.399999999999999,6.5758590698242188,5.0513763427734375,,
23.5,6.8824615478515625,5.4755020141601562,,
23.600000000000001,7.2324981689453125,5.8970794677734375,,
23.699999999999999,7.6259689331054688,6.323760986328125,,
23.800000000000001,8.0424270629882812,6.75811767578125,,
23.899999999999999,8.5125503540039062,7.2052383422851562,,
24,9.0184402465820312,7.5833816528320312,,
24.100000000000001,9.3965835571289062,7.8031082153320312,,
24.199999999999999,9.4732284545898438,7.8363265991210938,,
24.300000000000001,9.2253952026367188,7.5118408203125,,
24.399999999999999,8.7859344482421875,6.9165267944335938,,
24.5,8.239166259765625,6.3135452270507812,,
24.600000000000001,7.6464080810546875,5.8025436401367188,,
24.699999999999999,7.1737289428710938,5.43206787109375,,
24.800000000000001,6.8492431640625,5.1510162353515625,,
24.899999999999999,6.5784149169921875,4.88018798828125,,
25,6.325469970703125,4.6706771850585938,,
25.100000000000001,6.1517333984375,4.5684814453125,,
25.199999999999999,6.0546417236328125,4.504608154296875,,
25.300000000000001,5.9779891967773438,4.466278076171875,,
25.399999999999999,5.9064483642578125,4.4458389282226562,,
25.5,5.8604583740234375,4.4356231689453125,,
25.600000000000001,5.883453369140625,4.4407272338867188,,
25.699999999999999,6.0009841918945312,4.43817138671875,,
25.800000000000001,6.1747283935546875,4.6630172729492188,,
25.899999999999999,6.4838790893554688,5.2736587524414062,,
26,6.841583251953125,5.79998779296875,,
26.100000000000001,7.2324981689453125,6.231781005859375,,
26.199999999999999,7.7460479736328125,6.8449859619140625,,
26.300000000000001,8.1906204223632812,7.5859375,,
26.399999999999999,8.6913986206054688,8.4980697631835938,,
26.5,9.2892684936523438,9.3539962768554688,,
26.600000000000001,9.7082901000976562,9.8726577758789062,,
26.699999999999999,9.7874984741210938,9.8777694702148438,,
26.800000000000001,9.5064468383789062,9.2032470703125,,
26.899999999999999,9.0235519409179688,8.163360595703125,,
27,8.5125503540039062,7.1464767456054688,,
27.100000000000001,7.9938888549804688,6.3007659912109375,,
27.199999999999999,7.5058822631835938,5.7437820434570312,,
27.300000000000001,7.1686172485351562,5.3247604370117188,,
27.399999999999999,6.933563232421875,4.88018798828125,,
27.5,6.7393798828125,4.55059814453125,,
27.600000000000001,6.5170974731445312,4.3436431884765625,,
27.699999999999999,6.3918991088867188,4.1520156860351562,,
27.800000000000001,6.3101425170898438,3.9833831787109375,,
27.899999999999999,6.1900558471679688,4.0319290161132812,,
28,6.2360458374023438,4.4790573120117188,,
28.100000000000001,6.509429931640625,5.3170928955078125,,
28.199999999999999,6.8134765625,6.1755752563476562,,
28.300000000000001,6.8517990112304688,6.8424301147460938,,
28.399999999999999,6.9361190795898438,7.4735107421875,,
28.5,7.3525772094726562,8.0892715454101562,,
28.600000000000001,7.8508071899414062,8.679473876953125,,
28.699999999999999,8.2417221069335938,9.1444854736328125,,
28.800000000000001,8.5534286499023438,9.4817428588867188,,
28.899999999999999,8.653076171875,9.4229812622070312,,
29,8.423126220703125,8.7510147094726562,,
29.100000000000001,8.055206298828125,7.8797607421875,,
29.199999999999999,7.6566238403320312,7.115814208984375,,
29.300000000000001,7.2376022338867188,6.489837646484375,,
29.399999999999999,6.8671340942382812,5.98394775390625,,
29.5,6.57330322265625,5.5853729248046875,,
29.600000000000001,6.3765716552734375,5.3068771362304688,,
29.699999999999999,6.2130508422851562,5.0334930419921875,,
29.800000000000001,6.0418624877929688,4.7779922485351562,,
29.899999999999999,5.929443359375,4.650238037109375,,
30,5.847686767578125,4.5940322875976562,23.942537307739258,22.010271072387695
30.100000000000001,5.7812576293945312,4.5786972045898438,,
30.199999999999999,5.7173843383789062,4.5914764404296875,,
30.300000000000001,5.6764984130859375,4.6119155883789062,,
30.399999999999999,5.7480392456054688,4.6655731201171875,,
30.5,5.9345550537109375,4.8009872436523438,,
30.600000000000001,6.2002792358398438,5.0871429443359375,,
30.699999999999999,6.5579757690429688,5.5010528564453125,,
30.800000000000001,7.0127639770507812,5.98394775390625,,
30.899999999999999,7.5058822631835938,6.5102767944335938,,
31,7.981109619140625,7.0340576171875,,
31.100000000000001,8.441009521484375,7.519500732421875,,
31.199999999999999,8.8881378173828125,7.9308624267578125,,
31.300000000000001,9.1845169067382812,8.1812515258789062,,
31.399999999999999,9.1666336059570312,8.1684722900390625,,
31.5,8.8370361328125,7.8056640625,,
31.600000000000001,8.366912841796875,7.172027587890625,,
31.699999999999999,7.8763580322265625,6.5332717895507812,,
