Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm)
0,4.780548095703125,23.012552261352539,13.52801513671875,22.494888305664062
0.10000000000000001,4.7575531005859375,,13.387489318847656,
0.20000000000000001,4.7652130126953125,,12.891822814941406,
0.29999999999999999,4.8571929931640625,,12.263290405273438,
0.40000000000000002,4.9926071166992188,,11.808502197265625,
0.5,5.120361328125,,11.35626220703125,
0.59999999999999998,5.3094329833984375,,10.875923156738281,
0.69999999999999996,5.7080078125,,10.530998229980469,
0.80000000000000004,6.2343368530273438,,10.280609130859375,
0.90000000000000002,6.8015518188476562,,10.104316711425781,
1,7.4402999877929688,,9.9918975830078125,
1.1000000000000001,8.1301498413085938,,9.9561233520507812,
1.2,8.8021163940429688,,9.9178009033203125,
1.3,9.2517929077148438,,9.7951583862304688,
1.3999999999999999,9.3131179809570312,,9.7159576416015625,
1.5,8.9630813598632812,,9.7031784057617188,
1.6000000000000001,8.3243331909179688,,9.7568359375,
1.7,7.5833816528320312,,10.053215026855469,
1.8,6.8373184204101562,,10.674079895019531,
1.8999999999999999,6.1551361083984375,,11.427803039550781,
2,5.5725936889648438,,12.025672912597656,
2.1000000000000001,5.148468017578125,,12.582664489746094,
2.2000000000000002,4.926177978515625,,13.185646057128906,
2.2999999999999998,4.7779922485351562,,13.7681884765625,
2.3999999999999999,4.642578125,,14.330284118652344,
2.5,4.5454864501953125,,14.854057312011719,
2.6000000000000001,4.4816131591796875,,15.265419006347656,
2.7000000000000002,4.40240478515625,,15.107002258300781,
2.7999999999999998,4.300201416015625,,14.322616577148438,
2.8999999999999999,4.2388839721679688,,13.428367614746094,
3,4.2235565185546875,,12.679756164550781,
3.1000000000000001,4.2669906616210938,,12.069107055664062,
3.2000000000000002,4.5148239135742188,,11.519783020019531,
3.2999999999999998,4.9798355102539062,,11.034332275390625,
3.3999999999999999,5.4857254028320312,,10.684303283691406,
3.5,5.9430694580078125,,10.357261657714844,
3.6000000000000001,6.4642868041992188,,10.03277587890625,
3.7000000000000002,7.06982421875,,9.8513717651367188,
3.7999999999999998,7.667694091796875,,9.7415084838867188,
3.8999999999999999,8.2630081176757812,,9.66485595703125,
4,8.8659896850585938,,9.6290817260742188,
4.0999999999999996,9.3591079711914062,,9.5984268188476562,
4.2000000000000002,9.3028945922851562,,9.6750717163085938,
4.2999999999999998,8.6028213500976562,,9.8973617553710938,
4.4000000000000004,7.7826690673828125,,10.339378356933594,
4.5,7.059600830078125,,11.024116516113281,
4.5999999999999996,6.3825302124023438,,11.74462890625,
4.7000000000000002,5.81787109375,,12.467689514160156,
4.7999999999999998,5.3809661865234375,,13.180534362792969,
4.9000000000000004,5.06414794921875,,13.844833374023438,
5,4.7677688598632812,,14.5040283203125,
5.0999999999999996,4.5173797607421875,,15.084007263183594,
5.2000000000000002,4.4100723266601562,,15.252639770507812,
5.2999999999999998,4.3410873413085938,,14.879608154296875,
5.4000000000000004,4.2797622680664062,,14.2076416015625,
5.5,4.246551513671875,,13.430923461914062,
5.5999999999999996,4.246551513671875,,12.669532775878906,
5.7000000000000002,4.2848739624023438,,11.977127075195312,
5.7999999999999998,4.4253997802734375,,11.389480590820312,
5.9000000000000004,4.7320022583007812,,10.927024841308594,
6,5.2046737670898438,,10.487564086914062,
6.0999999999999996,5.7795486450195312,,10.134979248046875,
6.2000000000000002,6.42596435546875,,9.9561233520507812,
6.2999999999999998,7.12603759765625,,9.8411483764648438,
6.4000000000000004,7.8490982055664062,,9.7593917846679688,
6.5,8.5823822021484375,,9.6725234985351562,
6.5999999999999996,9.1981430053710938,,9.6495285034179688,
6.7000000000000002,9.4638595581054688,,9.8181533813476562,
6.7999999999999998,9.2185821533203125,,10.173301696777344,
6.9000000000000004,8.6104888916015625,,10.776283264160156,
7,7.8772048950195312,,11.547889709472656,
7.0999999999999996,7.1285858154296875,,12.278617858886719,
7.2000000000000002,6.4208526611328125,,12.909706115722656,
7.2999999999999998,5.7821044921875,,13.466697692871094,
7.4000000000000004,5.3068771362304688,,13.993026733398438,
7.5,4.9517288208007812,,14.493804931640625,
7.5999999999999996,4.7038955688476562,,14.608779907226562,
7.7000000000000002,4.6093597412109375,,14.0977783203125,
7.7999999999999998,4.5838088989257812,,13.315948486328125,
7.9000000000000004,4.5735931396484375,,12.531562805175781,
8,4.5454864501953125,,11.8544921875,
8.0999999999999996,4.5454864501953125,,11.294944763183594,
8.1999999999999993,4.6553497314453125,,10.817161560058594,
8.3000000000000007,4.872528076171875,,10.49267578125,
8.4000000000000004,5.1944580078125,,10.306159973144531,
8.5,5.679901123046875,,10.083877563476562,
8.5999999999999996,6.270111083984375,,9.8641433715820312,
8.6999999999999993,6.875640869140625,,9.73895263671875,
8.8000000000000007,7.465850830078125,,9.6520767211914062,
8.9000000000000004,8.0305023193359375,,9.6163101196289062,
9,8.5312881469726562,,9.5882034301757812,
9.0999999999999996,8.6718063354492188,,9.5575485229492188,
9.1999999999999993,8.26556396484375,,9.64697265625,
9.3000000000000007,7.6217041015625,,9.9612350463867188,
9.4000000000000004,6.9471817016601562,,10.444129943847656,
9.5,6.270111083984375,,11.047111511230469,
9.5999999999999996,5.6696853637695312,,11.683303833007812,
9.6999999999999993,5.220001220703125,,12.27606201171875,
9.8000000000000007,4.9568405151367188,,12.81005859375,
9.9000000000000004,4.7933197021484375,,13.221412658691406,
10,4.6093597412109375,22.711631774902344,13.558677673339844,22.727272033691406
10.1,4.4713897705078125,,13.903602600097656,
10.199999999999999,4.4356231689453125,,14.102890014648438,
10.300000000000001,4.4049606323242188,,13.852500915527344,
10.4,4.3947372436523438,,13.313392639160156,
10.5,4.4049606323242188,,12.695083618164062,
10.6,4.4253997802734375,,12.041007995605469,
10.699999999999999,4.4892730712890625,,11.466133117675781,
10.800000000000001,4.6451263427734375,,10.996009826660156,
10.9,4.9287338256835938,,10.65875244140625,
11,5.3273162841796875,,10.444129943847656,
11.1,5.828094482421875,,10.3087158203125,
11.199999999999999,6.3825302124023438,,10.081321716308594,
11.300000000000001,6.9395217895507812,,9.8539276123046875,
11.4,7.4505157470703125,,9.7542800903320312,
11.5,7.907867431640625,,9.7057342529296875,
11.6,8.3243331909179688,,9.70062255859375,
11.699999999999999,8.5619430541992188,,9.7031784057617188,
11.800000000000001,8.4060897827148438,,9.7159576416015625,
11.9,7.9768524169921875,,9.86669921875,
12,7.49395751953125,,10.32659912109375,
12.1,6.949737548828125,,10.863151550292969,
12.199999999999999,6.3646469116210938,,11.310272216796875,
12.300000000000001,5.845977783203125,,11.8544921875,
12.4,5.4576187133789062,,12.467689514160156,
12.5,5.1995620727539062,,13.096221923828125,
12.6,4.9747238159179688,,13.696647644042969,
12.699999999999999,4.7038955688476562,,14.197425842285156,
12.800000000000001,4.5097122192382812,,14.343063354492188,
12.9,4.43817138671875,,13.980247497558594,
13,4.3947372436523438,,13.223968505859375,
13.1,4.3870773315429688,,12.329719543457031,
13.199999999999999,4.3998489379882812,,11.586212158203125,
13.300000000000001,4.4202880859375,,11.041999816894531,
13.4,4.5454864501953125,,10.648529052734375,
13.5,4.816314697265625,,10.341934204101562,
13.6,5.010498046875,,10.127311706542969,
13.699999999999999,5.2046737670898438,,10.002113342285156,
13.800000000000001,5.662017822265625,,9.9459075927734375,
13.9,6.2471160888671875,,9.820709228515625,
14,6.8245468139648438,,9.6750717163085938,
14.1,7.3687591552734375,,9.636749267578125,
14.199999999999999,7.8439865112304688,,9.6341934204101562,
14.300000000000001,8.0790481567382812,,9.6571884155273438,
14.4,7.8184356689453125,,9.6904067993164062,
14.5,7.0851516723632812,,9.8411483764648438,
14.6,6.2368927001953125,,10.334266662597656,
14.699999999999999,5.59814453125,,11.128868103027344,
14.800000000000001,5.184234619140625,,11.816162109375,
14.9,4.91851806640625,,12.398704528808594,
15,4.724334716796875,,13.01190185546875,
15.1,4.5812530517578125,,13.558677673339844,
15.199999999999999,4.4892730712890625,,14.036460876464844,
15.300000000000001,4.40240478515625,,14.389053344726562,
15.4,4.2593231201171875,,14.424819946289062,
15.5,4.14434814453125,,14.072227478027344,
15.6,4.1469039916992188,,13.430923461914062,
15.699999999999999,4.190338134765625,,12.623542785644531,
15.800000000000001,4.228668212890625,,11.90814208984375,
15.9,4.264434814453125,,11.366485595703125,
16,4.3896331787109375,,10.942352294921875,
16.100000000000001,4.6860122680664062,,10.610206604003906,
16.199999999999999,5.0488204956054688,,10.357261657714844,
16.300000000000001,5.4525070190429688,,10.186073303222656,
16.399999999999999,5.9737319946289062,,10.119644165039062,
16.5,6.5690460205078125,,10.042999267578125,
16.600000000000001,7.1439208984375,,9.8743667602539062,
16.699999999999999,7.63958740234375,,9.7619476318359375,
16.800000000000001,8.053497314453125,,9.7312850952148438,
16.899999999999999,8.2323532104492188,,9.7261734008789062,
17,7.9896240234375,,9.746612548828125,
17.100000000000001,7.3483200073242188,,9.8641433715820312,
17.199999999999999,6.5588226318359375,,10.244842529296875,
17.300000000000001,5.9124069213867188,,10.95257568359375,
17.399999999999999,5.4806137084960938,,11.721633911132812,
17.5,5.1867904663085938,,12.299057006835938,
17.600000000000001,4.9951629638671875,,12.835609436035156,
17.699999999999999,4.872528076171875,,13.390045166015625,
17.800000000000001,4.7933197021484375,,13.89593505859375,
17.899999999999999,4.73455810546875,,14.33795166015625,
18,4.6272430419921875,,14.550018310546875,
18.100000000000001,4.484161376953125,,14.28173828125,
18.199999999999999,4.4279556274414062,,13.566337585449219,
18.300000000000001,4.430511474609375,,12.764068603515625,
18.399999999999999,4.4407272338867188,,11.936248779296875,
18.5,4.4816131591796875,,11.179969787597656,
18.600000000000001,4.5838088989257812,,10.515670776367188,
18.699999999999999,4.8418655395507812,,10.188629150390625,
18.800000000000001,5.2225570678710938,,10.29083251953125,
18.899999999999999,5.6236953735351562,,10.193740844726562,
19,6.029937744140625,,9.9944534301757812,
19.100000000000001,6.5102767944335938,,10.109428405761719,
19.199999999999999,7.0672683715820312,,10.630645751953125,
19.300000000000001,7.5961532592773438,,11.323051452636719,
19.399999999999999,8.0509414672851562,,11.867263793945312,
19.5,8.3422164916992188,,11.6705322265625,
19.600000000000001,8.2527923583984375,,11.882598876953125,
19.699999999999999,7.741790771484375,,13.001686096191406,
