Date/Time	Exhale Airflow [ml/s]	DeltaTime OPC [s]	Particle 1 [counts/l]	Particle 2 [counts/l]	Particle 3 [counts/l]	Particle 4 [counts/l]	Particle 5 [counts/l]	Particle 6 [counts/l]	Particle 7 [counts/l]	Particle 8 [counts/l]	Particle 9 [counts/l]	Particle 10 [counts/l]	Particle 11 [counts/l]	Particle 12 [counts/l]	Particle 13 [counts/l]	Particle 14 [counts/l]	Particle 15 [counts/l]	Particle 16 [counts/l]	Particle Sum [counts/l]	Accumulated mass [ng]	Accumulated volume [l]	Exhale Counter [n]	Event Counter [n]	Internal Temperature [°C]	Internal Humidity [%]	Temperature too low [n]	Temperature too high [n]	Circuit Flow [ml/s]	Temperature Impactor [°C]	Temperature Reservoir [°C]	Inhale Airflow [ml/s]	Inhale Exhale Airflow [ml/s]	Volume ml]
2026-09-03 15:29:46.59	0.226516																						0					254.336639			0.019667	0.226516	5998.905772
2026-09-03 15:29:46.60	-0.000763																						0					254.065369			0.019667	-0.000763	5998.903885
2026-09-03 15:29:46.61	-0.000763																						0					253.794113			0.019667	-0.000763	5998.903514
2026-09-03 15:29:46.62	-0.000763																						0					253.580612			0.000848	-0.000763	5998.903522
2026-09-03 15:29:46.63	-0.000763																						0					253.367111			0.000848	-0.000763	5998.903529
2026-09-03 15:29:46.64	-0.020183																						0					253.292084			0.000848	-0.020183	5998.903569
2026-09-03 15:29:46.65	-0.020183																						0					253.217041			0.000848	-0.020183	5998.903739
2026-09-03 15:29:46.66	-0.020183																						0					253.310638			0.000848	-0.020183	5998.903941
2026-09-03 15:29:46.67	-0.020183																						0					253.404221			-0.001646	-0.020183	5998.904142
2026-09-03 15:29:46.68	-0.000763	1.003779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.001095	0	0	30.200000	45.400000	0.000000	0.000000	253.367111	36.500000	36.080002	0.000848	-0.000763	5998.904312
2026-09-03 15:29:46.69	-0.020183																						0					253.292084			0.000848	-0.020183	5998.904384
