<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 14:27:29	34,0	16,0	10,3	6,1	3,3	10,0	26,1	18,7	8,2	16,0	4,7	2,6
14.08.2025 14:27:35	26,7	19,7	8,5	4,8	3,6	14,9	25,6	22,0	7,3	23,0	3,8	2,9
14.08.2025 14:27:41	13,1	11,4	7,5	5,8	3,5	5,6	11,7	10,7	6,0	11,6	4,5	2,9
14.08.2025 14:27:47	34,6	16,3	8,8	5,8	3,7	10,6	28,1	20,4	7,3	18,0	4,5	3,0
14.08.2025 14:27:53	36,8	22,7	9,1	6,1	4,0	16,5	32,9	26,4	7,8	27,6	4,8	3,2
14.08.2025 14:27:59	114,0	27,9	7,3	4,8	3,8	23,0	85,3	49,4	6,8	37,2	3,8	3,1
14.08.2025 14:28:05	12,2	12,2	11,3	7,1	3,9	5,0	9,3	9,3	8,7	9,3	5,5	3,1
14.08.2025 14:28:11	158,5	10,7	8,8	5,3	3,3	5,4	77,9	17,4	7,1	9,3	4,1	2,6
14.08.2025 14:28:17	19,1	12,9	7,5	5,3	3,6	7,7	16,6	13,8	6,3	14,0	4,1	2,9
14.08.2025 14:28:23	23,8	17,6	12,4	7,9	3,4	9,7	19,4	16,7	9,6	16,8	6,1	2,8
14.08.2025 14:28:29	40,5	16,4	7,8	5,5	3,5	10,9	31,4	21,4	6,3	18,7	4,3	2,9
14.08.2025 14:28:35	3,7	3,7	3,7	3,7	3,5	0,0	3,0	3,0	3,0	3,0	3,0	2,8
14.08.2025 14:28:41	36,7	23,8	9,9	5,2	3,3	18,6	33,6	27,6	8,6	28,4	4,1	2,7
14.08.2025 14:28:47	35,1	17,3	11,5	7,2	3,8	10,1	28,0	20,6	9,7	17,8	5,6	3,1
14.08.2025 14:28:53	7,8	7,8	7,4	5,6	3,7	2,2	6,0	6,0	5,7	6,0	4,4	3,0
14.08.2025 14:28:59	51,2	9,2	6,3	4,5	3,3	4,7	34,5	17,5	5,4	9,5	3,5	2,6
14.08.2025 14:29:05	20,6	14,0	6,6	4,7	3,6	9,4	18,5	15,4	5,4	15,9	3,7	2,9
14.08.2025 14:29:11	70,0	21,5	11,8	6,9	3,3	14,6	50,5	30,4	9,6	22,9	5,4	2,6
14.08.2025 14:29:17	28,2	21,9	12,4	7,0	4,2	14,9	26,8	23,8	11,0	24,2	5,5	3,4
14.08.2025 14:29:23	33,9	16,1	9,8	5,2	3,1	10,8	26,4	19,1	8,2	16,2	4,1	2,5
14.08.2025 14:29:29	39,5	15,3	5,1	3,7	3,5	11,6	33,0	22,8	5,0	20,2	3,0	2,8
14.08.2025 14:29:35	14,6	13,5	6,2	4,2	3,5	9,3	16,3	15,2	5,7	16,3	3,4	2,9
14.08.2025 14:29:41	31,3	23,1	10,8	6,1	3,5	17,0	29,6	25,4	9,4	26,9	4,8	2,8
14.08.2025 14:29:47	61,7	24,3	10,3	5,2	3,4	19,1	48,8	33,1	8,7	28,4	4,1	2,8
14.08.2025 14:29:53	4,2	4,2	4,2	4,1	3,5	0,1	3,4	3,4	3,4	3,4	3,3	2,9
14.08.2025 14:29:59	36,3	18,1	10,2	5,8	3,4	12,3	29,0	21,3	8,4	18,9	4,5	2,8
14.08.2025 14:30:05	8,8	8,5	5,8	4,0	3,2	4,5	8,3	7,9	4,7	8,3	3,2	2,6
14.08.2025 14:30:11	41,7	17,6	8,4	5,4	3,3	12,2	32,9	22,9	6,9	20,2	4,2	2,6
14.08.2025 14:30:17	98,7	13,5	8,5	6,0	3,7	7,5	58,2	22,2	6,7	13,8	4,7	3,0
14.08.2025 14:30:23	16,2	15,8	11,9	6,3	3,7	9,5	14,5	14,1	9,6	14,5	5,0	3,0
14.08.2025 14:30:29	21,7	19,7	10,9	5,7	3,4	14,0	21,4	19,9	9,2	21,2	4,5	2,7
14.08.2025 14:30:35	35,8	17,6	10,4	6,4	3,5	11,1	28,6	21,0	8,6	18,5	5,0	2,8
14.08.2025 14:30:41	16,5	13,2	5,2	3,7	3,3	9,5	16,6	14,5	4,8	16,4	3,0	2,6
14.08.2025 14:30:47	59,4	15,9	9,5	6,0	3,5	9,9	42,1	24,1	8,1	16,9	4,7	2,9
14.08.2025 14:30:53	43,0	24,3	9,1	5,2	3,7	19,1	37,8	29,6	8,0	30,1	4,1	3,0
14.08.2025 14:30:59	14,9	13,2	7,9	5,0	3,5	8,3	14,4	13,3	6,9	14,3	3,9	2,8
14.08.2025 14:31:05	17,8	16,1	9,1	5,2	3,5	10,9	18,2	17,1	8,3	18,1	4,1	2,8
14.08.2025 14:31:11	20,5	14,3	8,1	5,2	3,9	9,0	17,6	14,8	6,7	15,0	4,1	3,1
14.08.2025 14:31:17	23,9	20,6	10,1	5,7	3,3	14,8	23,9	21,7	8,9	23,6	4,5	2,7
14.08.2025 14:31:23	21,5	15,2	9,0	5,4	3,6	9,8	18,3	15,6	7,4	15,7	4,3	2,9
14.08.2025 14:31:29	28,8	10,9	6,5	4,5	3,3	6,4	21,9	14,6	5,4	11,7	3,6	2,7
14.08.2025 14:31:35	3,3	3,3	3,3	3,3	3,1	0,0	2,7	2,7	2,7	2,7	2,7	2,5
14.08.2025 14:31:41	174,9	9,3	5,0	3,9	3,3	5,3	89,3	21,6	4,3	10,5	3,2	2,7
14.08.2025 14:31:47	38,8	19,3	10,5	5,7	3,3	13,6	30,5	22,1	8,3	20,2	4,5	2,7
14.08.2025 14:31:53	25,3	18,7	10,5	6,2	3,7	12,5	22,0	18,9	8,4	19,4	4,8	3,0
14.08.2025 14:31:59	32,8	14,8	8,5	5,5	3,4	9,3	26,5	19,1	7,5	16,4	4,4	2,7
14.08.2025 14:32:05	4,4	4,4	4,4	4,2	3,3	0,3	3,5	3,5	3,5	3,5	3,3	2,7
14.08.2025 14:32:11	17,2	15,5	9,0	5,5	3,2	10,0	16,5	15,3	7,6	16,4	4,3	2,6
14.08.2025 14:32:17	4,9	4,9	4,9	4,6	3,5	0,3	3,9	3,9	3,9	3,9	3,7	2,8
14.08.2025 14:32:23	17,6	11,3	5,5	4,3	3,2	7,0	15,7	12,9	4,7	13,1	3,4	2,6
14.08.2025 14:32:29	12,3	12,2	9,3	5,7	3,5	6,5	11,7	11,6	8,0	11,7	4,5	2,9
14.08.2025 14:32:35	23,3	17,0	9,8	5,9	3,6	11,1	20,7	17,9	8,2	18,1	4,6	2,9
14.08.2025 14:32:41	13,1	11,5	6,1	3,7	3,2	7,8	12,4	11,3	5,2	12,3	2,9	2,5
14.08.2025 14:32:47	24,5	16,5	5,7	4,0	3,4	12,5	23,7	19,7	5,3	21,0	3,2	2,7
14.08.2025 14:32:53	33,4	15,5	9,9	6,6	3,6	8,9	25,7	18,3	7,9	15,6	5,2	2,9
14.08.2025 14:32:59	2,9	2,9	2,9	2,9	2,8	0,0	2,4	2,4	2,4	2,4	2,4	2,2
14.08.2025 14:33:05	4,4	4,4	4,4	4,2	3,4	0,3	3,5	3,5	3,5	3,5	3,3	2,7
14.08.2025 14:33:11	45,4	20,9	8,3	5,1	3,3	15,8	38,9	28,4	7,6	26,1	4,0	2,6
14.08.2025 14:33:17	2,8	2,8	2,8	2,8	2,7	0,0	2,3	2,3	2,3	2,3	2,3	2,2
14.08.2025 14:33:23	3,6	3,6	3,6	3,6	3,3	0,0	2,9	2,9	2,9	2,9	2,9	2,7
14.08.2025 14:33:29	5,1	5,1	5,1	4,7	3,5	0,4	4,0	4,0	4,0	4,0	3,8	2,9
